;name;overall;УИК №2592;УИК №2593;УИК №2594;УИК №2595;УИК №2601;УИК №2602;УИК №2603;УИК №2604;УИК №2605;УИК №2606;УИК №2607;УИК №2608;УИК №2609;УИК №2610;УИК №2611;УИК №2612;УИК №2614;УИК №2615;УИК №2628
14;Анохина Наталья Борисовна;1407.0;40;55;67;55;88;130;52;92;77;58;78;80;109;87;78;45;63;79;74
15;Арсентьева Галина Владимировна;1452.0;46;56;72;58;81;116;50;84;79;61;78;93;104;97;87;45;78;88;79
16;Буслаева Светлана Юрьевна;591.0;32;45;40;39;49;31;22;25;21;47;42;28;17;22;19;18;31;39;24
17;Глушков Алексей Юрьевич;1458.0;48;59;73;54;76;134;45;93;91;55;73;104;100;93;92;44;64;82;78
18;Зайцев Сергей Андреевич;661.0;23;26;24;21;129;92;22;33;27;38;23;30;43;19;21;9;23;28;30
19;Кудинов Сергей Евгеньевич;950.0;37;47;139;55;70;54;40;23;42;45;65;37;64;36;38;22;48;60;28
20;Кузнецов Александр Евгеньевич;938.0;25;32;64;43;168;129;37;34;36;58;35;38;65;36;27;17;37;32;25
21;Левицкая Ирина Вячеславовна;451.0;14;29;49;20;39;31;18;14;28;20;23;14;30;20;20;9;23;26;24
22;Ломакина Галина Андреевна;261.0;7;13;10;11;20;18;17;21;11;9;22;8;20;12;13;8;15;18;8
23;Минушова Наталия Сергеевна;1274.0;75;105;77;89;76;64;44;46;61;96;101;47;43;44;44;58;82;66;56
24;Мирошкин Кирилл Петрович;1227.0;37;53;68;44;74;106;42;77;58;60;63;78;83;82;74;34;63;69;62
25;Овчаров Антон Константинович;1328.0;74;108;88;100;76;70;53;48;54;82;139;45;55;45;44;50;78;62;57
26;Пчелинцева Татьяна Васильевна;1198.0;67;134;62;96;57;66;41;29;61;73;105;30;60;40;52;44;60;70;51
27;Рогачев Борис Александрович;1222.0;38;38;70;40;68;96;44;79;62;54;63;76;91;80;75;38;56;69;85
28;Рустамов Элмар Фамилович;106.0;2;6;5;8;13;5;5;4;5;2;7;10;4;7;8;1;5;5;4
29;Рябкина Ольга Викторовна;368.0;17;23;17;22;23;28;11;18;21;18;25;22;29;14;22;8;12;25;13
30;Сокуренко Вадим Александрович;1711.0;92;110;88;98;192;184;66;54;69;98;101;61;80;65;62;55;91;80;65
31;Сорокин Евгений Николаевич;975.0;25;54;68;39;161;121;36;37;45;50;41;45;64;29;29;17;42;46;26
32;Удотов Юрий Михайлович;272.0;16;15;21;20;14;15;14;9;16;16;14;14;18;8;14;6;9;18;15
33;Хашимова Надежда Джумаваевна;633.0;20;19;40;19;132;100;22;28;29;32;25;31;36;19;16;9;21;19;16
34;Чернышев Андрей Валентинович;569.0;19;38;52;33;48;41;23;16;27;33;38;24;34;22;26;12;25;37;21
35;Шендерович Денис Игоревич;1333.0;103;111;83;94;79;69;43;46;56;76;104;41;44;48;44;58;91;81;62
36;Ясиновская Наталья Леопольдовна;344.0;12;18;31;16;19;23;12;13;22;17;25;17;25;14;11;9;25;22;13
