;name;overall;УИК №2734;УИК №2735;УИК №2736;УИК №2737;УИК №2738;УИК №2739;УИК №2740;УИК №2741;УИК №2751;УИК №2752
14;Амосова Ольга Юрьевна;95.0;6;9;4;13;9;18;11;17;4;4
15;Бабыкин Арсений Сергеевич;72.0;5;6;3;11;7;14;8;12;5;1
16;Бестужева Наталия Николаевна;611.0;36;66;37;85;57;42;52;89;78;69
17;Варламова Алла Аркадьевна;820.0;86;85;72;132;45;83;97;110;39;71
18;Волков Александр Николаевич;409.0;28;66;15;42;26;43;27;54;67;41
19;Герасимов Владимир Евгеньевич;695.0;56;69;59;105;47;75;73;76;80;55
20;Гордеев Андрей Владимирович;153.0;7;8;12;12;9;25;21;19;24;16
21;Громова Людмила Сергеевна;605.0;66;57;46;88;38;71;82;74;35;48
22;Гундоров Дмитрий Николаевич;363.0;22;27;36;46;23;38;30;68;39;34
23;Долин Алексей Анатольевич;438.0;39;35;25;54;31;52;36;66;48;52
24;Досекина Оксана Даниловна;57.0;5;4;9;7;3;14;4;2;3;6
25;Задорина Елена Николаевна;536.0;41;31;39;73;48;46;46;94;63;55
26;Колосов Андрей Валерьевич;278.0;21;43;11;33;13;32;22;23;52;28
27;Костина Анастасия Андреевна;151.0;17;10;9;25;16;16;12;15;15;16
28;Красина-Земляная Марина Викторовна;624.0;57;60;49;101;37;75;71;83;40;51
29;Лабутин Василий Германович;342.0;28;40;5;31;21;29;26;66;63;33
30;Новиков Сергей Игоревич;82.0;8;7;9;5;5;12;16;10;3;7
31;Одарюк Оксана Анатольевна;743.0;73;78;71;117;39;87;97;89;45;47
32;Попадьин Анастасия;78.0;4;4;9;12;4;17;8;5;6;9
33;Сорокина Ирина Викторовна;315.0;23;43;15;32;26;29;18;61;45;23
34;Тютин Анатолий Прохорович;262.0;27;36;10;37;7;17;17;28;59;24
35;Филина Елена Евгеньевна;755.0;53;77;42;100;51;56;64;99;107;106
36;Фимушкин Дмитрий Константинович;489.0;34;41;31;65;34;73;38;86;43;44
37;Шабалин Олег Юрьевич;125.0;7;16;12;12;8;20;14;21;10;5
38;Шестакова Вера Владимировна;96.0;5;12;8;17;6;17;3;7;7;14
39;Шишлянников Алексей Васильевич;108.0;5;4;10;15;9;26;7;8;14;10
