;name;overall;УИК №944;УИК №945;УИК №946;УИК №947;УИК №948;УИК №949;УИК №950;УИК №951;УИК №952;УИК №953;УИК №954;УИК №955;УИК №956;УИК №957;УИК №959;УИК №961
14;Алдошина Юлия Владимировна;682.0;48;29;4;43;37;84;38;31;40;52;42;53;46;43;46;46
15;Ануфриева Наталья Александровна;585.0;45;22;3;40;26;32;39;49;35;46;34;43;36;57;43;35
16;Баш Юлия Александровна;1994.0;241;131;12;98;126;95;133;140;123;137;225;211;77;120;68;57
17;Белов Александр Владимирович;353.0;33;13;4;30;28;20;16;22;28;28;14;18;26;29;28;16
18;Богданова Александра Сергеевна;214.0;14;8;3;16;17;15;12;12;15;12;9;10;12;22;26;11
19;Глубоковских Вадим Витальевич;1551.0;180;88;6;73;108;71;118;101;80;114;188;179;59;92;51;43
20;Грибков Вадим Николаевич;1196.0;116;69;7;66;48;81;85;78;67;120;53;73;84;82;90;77
21;Исаев Сергей Иванович;485.0;39;20;2;34;25;24;26;34;29;43;36;30;29;42;45;27
22;Козырева Елена Викторовна;232.0;24;15;1;14;15;11;17;15;9;13;14;20;15;14;25;10
23;Кулага Наталья Николаевна;1879.0;224;112;9;99;113;94;136;134;95;140;198;188;81;116;83;57
24;Куштуев Степан Сергеевич;139.0;6;13;2;13;16;7;5;5;15;7;9;13;5;8;12;3
25;Максина Евгения Николаевна;565.0;33;23;4;34;26;34;31;37;40;52;23;28;77;51;39;33
26;Нараевский Алексей Викторович;616.0;31;24;3;35;23;31;37;31;33;64;27;47;54;81;47;48
27;Осипов Алексей Анатольевич;370.0;30;22;2;33;17;21;29;22;39;35;14;16;24;29;15;22
28;Павлова Елена Александровна;1136.0;145;83;6;55;34;63;73;74;86;80;45;84;87;68;80;73
29;Перадзе Лев Отарович;418.0;33;23;1;19;14;21;18;42;30;15;25;24;75;38;23;17
30;Покатаев Алексей Николаевич;161.0;11;10;1;11;6;5;10;15;16;11;12;12;9;14;11;7
31;Семенов Антон Дмитриевич;263.0;14;9;0;12;13;17;29;17;22;21;11;14;18;32;16;18
32;Столяров Евгений Александрович;233.0;25;12;2;38;18;20;11;16;9;15;9;9;15;10;16;8
33;Тишкин Игорь Анатольевич;1140.0;91;61;6;56;43;68;74;80;94;76;65;80;88;75;95;88
34;Хваталина Юлия Викторовна;1741.0;214;97;8;90;101;82;112;110;87;132;238;210;68;90;62;40
35;Четвертков Тимофей Михайлович;1783.0;198;88;7;91;114;85;126;128;90;134;216;198;76;110;67;55
36;Ягудаев Денис Мирхаевич;171.0;21;13;2;8;10;15;11;6;8;11;4;15;10;19;7;11
