;name;overall;УИК №2703;УИК №2704;УИК №2705;УИК №2706;УИК №2707;УИК №2708;УИК №2709;УИК №2710;УИК №2711;УИК №2712;УИК №2713;УИК №2714;УИК №2716;УИК №2717;УИК №2718
14;Абидор Кирилл Аркадьевич;790.0;19;14;45;55;49;76;57;55;21;107;99;95;54;25;19
15;Андреев Степан Витальевич;191.0;1;10;8;8;9;8;18;12;10;14;24;20;21;19;9
16;Батиевский Валентин Валентинович;345.0;4;22;21;27;42;23;31;27;2;15;54;17;18;33;9
17;Белоущенко Иван Борисович;377.0;3;12;23;26;21;34;34;31;5;38;38;37;27;38;10
18;Боднарчук Павел Андреевич;152.0;0;8;6;9;8;4;14;9;3;11;20;18;6;27;9
19;Бутузов Александр Викторович;222.0;2;11;11;13;12;13;19;18;6;12;28;15;9;41;12
20;Грушина Валерия Валерьевна;292.0;5;17;23;16;19;36;25;12;8;21;33;37;17;13;10
21;Гунченко Марина Михайловна;1391.0;338;198;53;55;68;63;85;110;31;36;75;44;48;155;32
22;Журавлев Евгений Олегович;467.0;6;43;24;31;26;46;33;30;4;62;60;35;37;16;14
23;Звягин Андрей Иванович;242.0;4;21;13;12;8;26;17;12;1;38;21;24;10;26;9
24;Киселенко Александр Андреевич;253.0;0;27;14;18;6;11;26;15;2;20;33;27;13;28;13
25;Князев Никита Игоревич;837.0;19;67;56;57;74;66;53;59;4;88;96;86;62;32;18
26;Кузнецова Екатерина Александровна;1390.0;329;186;49;53;63;62;81;130;25;44;76;49;48;161;34
27;Михайлова Светлана Александровна;1548.0;323;237;56;64;86;78;82;125;27;58;95;52;65;159;41
28;Мишустин Николай Николаевич;530.0;9;87;29;21;34;36;29;36;7;60;58;53;38;12;21
29;Панкратова Валентина Арсеньевна;291.0;3;20;22;14;16;18;18;18;9;24;33;29;15;43;9
30;Перфильев Илья Петрович;350.0;4;32;19;25;42;18;9;25;11;39;31;32;35;22;6
31;Попов Тарас Владимирович;849.0;19;31;45;56;55;80;61;55;15;100;108;109;54;31;30
32;Романенко Елена Григорьевна;588.0;8;24;43;46;36;63;49;54;6;64;55;83;23;22;12
33;Рудковский Андрей Андреевич;155.0;1;9;9;11;14;6;12;9;3;13;14;18;7;19;10
34;Селифанов Дмитрий Игоревич;365.0;4;33;24;27;21;33;26;29;2;46;44;33;23;14;6
35;Стекольников Валентин Юрьевич;791.0;20;54;40;48;80;67;68;49;3;92;90;98;50;23;9
36;Чернов Кирилл Вячеславович;1597.0;353;187;77;66;100;68;88;130;30;55;99;70;62;162;50
37;Чистов Валерий Федорович;1380.0;366;176;45;46;65;55;83;98;28;43;77;60;45;159;34
38;Яковлев Дмитрий Сергеевич;891.0;18;57;66;60;71;98;48;62;5;74;115;106;61;29;21
