;name;overall;УИК №942;УИК №943
14;Алейников Геннадий Ильич;363.0;84;279
15;Аминов Лев Ахмедович;89.0;79;10
16;Гаврилова Елена Владимировна;278.0;199;79
17;Готовец Юлия Анатольевна;280.0;217;63
18;Давыдова Евгения Анатольевна;600.0;445;155
19;Дегтярева Ирина Владимировна;396.0;318;78
20;Киреев Андрей Николаевич;55.0;44;11
21;Ковешников Николай Сергеевич;57.0;47;10
22;Колебанова Алина Александровна;36.0;28;8
23;Конкин Сергей Петрович;82.0;59;23
24;Кувшинова Раиса Ивановна;75.0;59;16
25;Кулагин Сергей Владимирович;352.0;81;271
26;Лонина Юлия Борисовна;231.0;44;187
27;Никульшин Андрей Андреевич;75.0;49;26
28;Никульшина Надежда Валериевна;270.0;211;59
29;Обуховский Владимир Владимирович;39.0;30;9
30;Полтев Валерий Николаевич;34.0;31;3
31;Смирнов Андрей Анатольевич;137.0;113;24
32;Суровицкий Дмитрий Алексеевич;109.0;94;15
33;Сыромятникова Любовь Валерьевна;50.0;41;9
34;Фонтуренкова Наталья Дмитриевна;100.0;94;6
35;Шаров Виталий Филиппович;159.0;118;41
36;Шишкина Наталья Александровна;268.0;212;56
37;Янчуков Игорь Александрович;238.0;111;127
