;name;overall;УИК №2092;УИК №2093;УИК №2094;УИК №2095;УИК №2096;УИК №2097;УИК №2098;УИК №2099;УИК №2101;УИК №2102;УИК №2103;УИК №2104;УИК №2105;УИК №2109
14;Босатин Алексей Анатольевич;361.0;34;30;11;22;13;43;33;40;22;23;13;26;29;22
15;Бузински Оксана Сергеевна;285.0;15;20;34;10;20;25;11;78;12;16;13;7;17;7
16;Гаврилин Валерий Анатольевич;216.0;20;40;10;18;10;20;11;29;9;20;2;2;11;14
17;Горячев Константин Евгеньевич;212.0;14;11;8;15;17;16;10;83;7;7;5;6;6;7
18;Гунина Екатерина Алексеевна;1752.0;107;101;231;178;92;116;123;121;97;97;107;130;150;102
19;Золин Владимир Валентинович;231.0;18;16;14;12;12;18;12;66;14;15;5;9;8;12
20;Коваль Полина Алексеевна;366.0;30;28;17;22;19;41;38;36;24;29;18;15;33;16
21;Койда Анатолий Иванович;1595.0;85;82;237;159;84;96;128;124;80;75;98;141;119;87
22;Корягин Андрей Михайлович;1676.0;92;88;249;183;72;110;116;115;84;88;103;154;121;101
23;Косинцев Владислав Леонидович;193.0;22;13;15;14;6;25;19;18;8;15;8;8;16;6
24;Котов Юрий Вячеславович;505.0;44;35;11;30;22;44;33;56;39;55;28;42;29;37
25;Маханов Юрий Алексеевич;242.0;16;20;16;21;8;25;36;17;11;39;8;12;9;4
26;Медведева Ирина Дмитриевна;318.0;30;30;21;27;13;34;26;34;19;22;9;15;20;18
27;Медведенко Александр Васильевич;227.0;18;16;6;12;10;29;20;20;14;25;8;7;34;8
28;Никитина Ирина Петровна;1720.0;94;87;233;153;80;120;127;134;87;92;105;147;146;115
29;Орлов Владимир Владимирович;405.0;30;28;12;15;30;41;20;47;23;32;44;22;22;39
30;Петрова Елена Валериковна;190.0;10;18;20;9;6;14;15;16;21;12;13;22;9;5
31;Полунина Ирина Станиславовна;1851.0;103;96;235;189;99;125;128;153;90;89;103;162;152;127
32;Попов Николай Олегович;114.0;8;9;13;8;2;16;10;2;5;15;7;5;9;5
33;Ульянова Марина Викторовна;151.0;14;10;19;5;5;20;8;14;6;18;1;7;14;10
34;Хватова Дарья Сергеевна;172.0;15;13;18;15;6;15;11;19;14;11;11;5;11;8
35;Шмеман Дмитрий Дмитриевич;153.0;16;18;7;7;7;15;9;21;6;10;5;11;12;9
36;Шувалов Евгений Вадимович;483.0;47;33;10;19;36;46;30;43;44;39;33;47;42;14
