;name;overall;УИК №1822;УИК №1823;УИК №1824;УИК №1831;УИК №1834;УИК №1835;УИК №1836;УИК №1837;УИК №1838;УИК №1839
14;Абертасов Андрей Алексеевич;1027.0;167;122;104;102;69;75;98;69;115;106
15;Архипова Елена Алексеевна;1091.0;156;131;89;105;94;80;114;93;120;109
16;Богачев Дмитрий Михайлович;510.0;77;95;87;39;44;33;48;29;29;29
17;Варакина Надежда Васильевна;950.0;160;117;99;97;71;64;70;58;106;108
18;Варфоламеева Людмила Владимировна;253.0;19;31;30;34;25;19;26;18;33;18
19;Волынский Виктор Борисович;437.0;33;34;53;27;56;46;73;47;37;31
20;Вялых Марина Геннадьевна;494.0;69;96;94;49;36;23;41;30;29;27
21;Гуляев Игорь Валерьевич;406.0;44;67;60;43;37;33;20;28;45;29
22;Жемчугина Надежда Максимовна;459.0;69;90;80;42;34;21;38;30;25;30
23;Загиров Антон Евгеньевич;146.0;11;27;16;11;17;10;8;15;21;10
24;Залозная Лилия Васильевна;132.0;15;16;20;19;9;9;12;4;19;9
25;Иванов Владимир Николаевич;238.0;27;39;33;18;24;16;20;13;32;16
26;Комаха Вячеслав Михайлович;834.0;147;96;80;78;48;49;63;42;123;108
27;Кудинова Марина Феликсовна;972.0;199;124;90;88;59;58;72;57;126;99
28;Кузьмин Андрей Юрьевич;673.0;37;34;41;46;82;84;155;94;53;47
29;Куимов Владимир Михайлович;692.0;32;62;53;52;150;83;111;80;44;25
30;Малушин Александр Александрович;96.0;6;10;21;8;8;7;11;5;5;15
31;Протасов Роман Игоревич;83.0;11;14;9;10;15;5;2;3;5;9
32;Ряховский Сергей Владимирович;547.0;36;25;30;33;118;72;118;64;23;28
33;Селеверстов Сергей Николаевич;278.0;9;15;19;6;44;37;66;60;10;12
34;Ситникова Оксана Владиславовна;179.0;17;27;22;11;14;20;19;12;24;13
35;Смородина Мария Николаевна;477.0;71;94;83;40;36;24;44;29;26;30
36;Сотников Анатолий Вячеславович;354.0;46;67;48;31;23;25;49;23;20;22
37;Фатехов Динар Сафаевич;107.0;11;16;11;8;12;12;10;7;10;10
38;Хачатуров Жан Романович;457.0;15;9;17;16;113;77;105;78;12;15
39;Шабалин Владимир Дмитриевич;103.0;6;18;12;10;10;3;15;8;9;12
40;Шленский Никита Владимирович;147.0;12;16;18;18;20;7;19;14;9;14
