;name;overall;УИК №767;УИК №768;УИК №771;УИК №774;УИК №775;УИК №776;УИК №777;УИК №778;УИК №779;УИК №780;УИК №797
14;Агабабян Арменак Сергеевич;596.0;51;74;58;58;61;25;42;10;77;74;66
15;Баринова Любовь Игнатьевна;502.0;57;66;47;49;34;33;36;4;57;58;61
16;Бобович Юрий Юрьевич;821.0;77;105;78;87;85;53;64;13;82;85;92
17;Бобоев Шерафган Махмадович;284.0;30;34;28;31;21;18;23;1;33;39;26
18;Денисова Тамара Николаевна;917.0;108;111;87;79;85;48;69;15;104;121;90
19;Енютин Артем Сергеевич;245.0;33;27;24;16;29;15;21;2;33;28;17
20;Журавлев Владимир Иванович;449.0;38;67;35;46;43;24;35;5;42;60;54
21;Заседателева Ирина Владимировна;1045.0;95;126;94;111;101;60;100;18;143;99;98
22;Измаилова Надия Ивановна;174.0;19;19;14;12;16;14;15;2;30;21;12
23;Ковалев Павел Павлович;734.0;68;69;80;61;88;53;68;15;97;98;37
24;Курбанов Имамудин Устаевич;267.0;25;33;19;36;19;17;24;3;29;34;28
25;Курчаков Юрий Константинович;736.0;82;77;86;52;91;43;66;9;90;94;46
26;Лебедев Сергей Алексеевич;382.0;36;44;28;49;39;28;28;5;55;44;26
27;Медведчук Ярослав Александрович;233.0;23;25;16;27;28;11;20;1;40;28;14
28;Минчев Дмитрий Юрьевич;183.0;17;23;21;18;15;11;10;2;31;18;17
29;Полевой Илья Викторович;655.0;60;71;69;51;84;49;63;15;87;70;36
30;Салахутдинов Динар Шамилевич;148.0;16;33;18;8;13;6;7;0;27;13;7
31;Солопов Владимир Алексеевич;208.0;19;24;21;20;21;9;15;7;21;26;25
32;Судакова Елена Владимировна;1080.0;95;120;95;131;133;70;85;15;129;111;96
33;Тарасова Елена Александровна;202.0;17;24;16;17;29;13;15;6;28;17;20
34;Фроликов Владислав Владимирович;202.0;20;25;20;21;20;13;14;0;21;29;19
35;Яковлев Александр Михайлович;604.0;54;62;66;44;82;38;53;11;87;73;34
