;name;overall;УИК №677;УИК №678;УИК №681;УИК №682;УИК №683
14;Апсов Альберт Артурович;107.0;12;26;30;33;6
15;Арсёнова Анастасия Фёдоровна;658.0;127;127;170;122;112
16;Будакова Оксана Петровна;577.0;120;96;150;92;119
17;Виноградов Виталий Анатольевич;154.0;24;40;40;30;20
18;Воропаева Олеся Валерьевна;88.0;12;20;24;23;9
19;Жолинский Андрей Владимирович;236.0;49;45;55;50;37
20;Ишков Илья Леонидович;226.0;52;36;49;59;30
21;Корницкий Сергей Заремович;554.0;113;90;188;65;98
22;Михайлова Юлия Вениаминовна;557.0;104;86;146;101;120
23;Михеева-Гречко Ольга Георгиевна;638.0;127;106;213;85;107
24;Невский Михаил Александрович;103.0;22;21;23;28;9
25;Рахилин Константин Валентинович;712.0;209;117;181;110;95
26;Семенов Сергей Леонидович;954.0;288;174;207;157;128
27;Степанов Михаил Вячеславович;799.0;295;149;143;111;101
28;Усачёва Ирина Александровна;231.0;51;50;44;49;37
29;Устинкина Ирина Александровна;203.0;34;52;50;36;31
30;Шевченко Андрей Юрьевич;160.0;32;34;24;37;33
31;Школьников Александр Наумович;953.0;265;141;291;145;111
