;name;overall;УИК №2926;УИК №2927;УИК №2932;УИК №2933;УИК №2937;УИК №2945;УИК №2946;УИК №2947;УИК №2948;УИК №2949;УИК №2950;УИК №2951;УИК №2955
14;Анашкин Юрий Александрович;1541.0;115;69;106;122;138;85;110;136;113;159;103;97;188
15;Бабин Игорь Николаевич;883.0;109;105;74;50;81;60;65;67;87;53;44;58;30
16;Демидко Владимир Александрович;1088.0;96;78;70;62;109;79;89;69;82;104;102;106;42
17;Еремин Дмитрий Валерьевич;320.0;15;20;27;27;29;20;34;36;15;45;15;26;11
18;Каретникова Виктория Витальевна;993.0;100;99;78;58;82;61;63;87;128;79;55;66;37
19;Киселева Ольга Николаевна;1386.0;97;57;107;102;138;65;88;124;100;150;94;71;193
20;Лагодский Сергей Александрович;442.0;18;25;38;42;36;38;32;37;31;64;21;37;23
21;Маховикова Галина Анатольевна;192.0;13;10;18;13;8;13;18;20;13;20;17;10;19
22;Покало Алексей Александрович;460.0;32;34;35;42;54;30;40;37;46;37;23;33;17
23;Постников Андрей Сергеевич;307.0;24;9;27;30;23;23;23;21;30;39;17;18;23
24;Пряник Олег Васильевич;457.0;25;24;47;40;37;34;28;42;30;60;30;39;21
25;Сотникова Марина Николаевна;1606.0;94;76;167;195;198;72;79;119;105;146;95;74;186
26;Усик Николай Петрович;200.0;20;14;21;11;16;19;18;18;17;19;4;13;10
27;Эберт Богдан Александрович;226.0;9;9;14;16;3;54;52;19;17;15;7;8;3
