;parameter;overall;УИК №2569;УИК №2570;УИК №2571;УИК №2572;УИК №2573;УИК №2574;УИК №2575;УИК №2576;УИК №2577;УИК №2578;УИК №2579
1;Число избирателей, внесенных в список;26330.0;2744;2764;2665;2708;2880;2255;1843;2140;1596;2554;2181
2;Число бюллетеней, полученных участковой комиссией;19300.0;2000;2000;2000;2000;2100;1700;1300;1600;1100;1900;1600
3;Число бюллетеней, выданных избирателям в помещении для голосования;4720.0;469;459;429;437;613;348;307;332;445;474;407
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;162.0;17;19;12;17;20;17;6;9;14;23;8
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;170.0;17;16;31;21;9;21;13;10;8;13;11
6;Число погашенных бюллетеней;14410.0;1514;1525;1540;1542;1478;1331;980;1258;647;1413;1182
7;Число бюллетеней в переносных ящиках для голосования;170.0;17;16;31;21;9;21;13;10;8;13;11
8;Число бюллетеней в стационарных ящиках для голосования;4842.0;486;475;440;454;604;365;313;339;454;497;415
9;Число недействительных бюллетеней;127.0;12;8;6;3;21;17;10;8;17;12;13
10;Число действительных бюллетеней;4885.0;491;483;465;472;592;369;316;341;445;498;413
11;Число утраченных бюллетеней;3.0;0;3;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;3.0;0;3;0;0;0;0;0;0;0;0;0
