;name;overall;УИК №1863;УИК №1864;УИК №1865;УИК №1866;УИК №1867;УИК №1868;УИК №1869;УИК №1870;УИК №1871;УИК №1872;УИК №1873;УИК №1889;УИК №1890;УИК №1891;УИК №1892;УИК №1893;УИК №1895
14;Акунеева Любовь Андреевна;311.0;14;10;3;22;5;16;26;20;9;20;28;22;18;19;25;21;33
15;Аникеева Мария Дмитриевна;811.0;26;17;8;50;15;49;77;61;60;55;89;56;47;31;56;45;69
16;Арзямов Антон Павлович;573.0;36;21;6;42;14;39;41;35;22;45;52;24;34;25;37;39;61
17;Астахов Алексей Владимирович;404.0;18;14;7;26;10;29;35;30;25;26;32;29;26;19;20;19;39
18;Белугин Александр Александрович;743.0;32;16;6;48;20;49;46;51;45;50;79;40;43;34;49;50;85
19;Бернев Владимир Владимирович;206.0;8;4;1;17;4;19;26;14;7;11;11;10;7;7;10;21;29
20;Богомазов Вадим Владимирович;176.0;8;2;1;12;7;12;14;12;6;8;16;9;11;9;15;9;25
21;Борисова Татьяна Васильевна;365.0;15;12;1;22;13;30;32;23;17;22;35;24;16;18;21;15;49
22;Бочкова Маргарита Алексеевна;677.0;37;18;3;56;16;50;41;37;34;44;71;28;39;29;47;49;78
23;Главацкая Анастасия Константиновна;767.0;26;27;8;65;15;40;75;57;52;46;94;48;42;33;48;43;48
24;Гореликов Сергей Юрьевич;260.0;9;5;2;17;7;18;19;17;12;18;17;17;13;10;23;18;38
25;Горячева Елена Владимировна;280.0;9;3;0;20;11;24;27;28;20;15;24;11;18;10;14;24;22
26;Жушман Иван Александрович;223.0;12;9;3;17;6;22;25;17;6;15;10;10;12;9;14;15;21
27;Королев Виталий Васильевич;208.0;10;4;4;30;9;8;20;11;11;10;13;16;7;9;15;16;15
28;Кривяков Антон Алексеевич;273.0;9;8;2;13;12;20;21;16;21;13;20;11;18;25;10;15;39
29;Кудрявцев Олег Владимирович;603.0;29;20;7;43;17;46;33;38;27;38;56;28;38;30;42;40;71
30;Львов Михаил Валентинович;1704.0;143;75;14;146;45;110;101;105;67;95;178;72;194;69;76;77;137
31;Мельникова Марина Владиленовна;705.0;21;27;6;39;19;46;68;60;50;43;77;36;52;38;35;31;57
32;Могуш Андрей Борисович;142.0;7;9;1;7;4;12;7;6;8;8;16;8;8;5;7;9;20
33;Никулаева Мария Ивановна;1675.0;120;84;14;150;37;106;100;106;72;83;157;65;197;71;72;55;186
34;Рузина Лидия Владимировна;1772.0;123;87;16;147;36;108;126;117;84;95;162;109;212;84;76;65;125
35;Серганов Сергей Сергеевич;350.0;13;11;1;30;14;29;46;21;11;36;21;18;14;16;15;14;40
36;Суслов Сергей Владимирович;373.0;19;19;2;22;7;38;21;24;14;15;58;24;18;13;18;23;38
37;Токарева Татьяна Васильевна;1743.0;131;86;16;159;45;123;105;136;82;98;166;75;202;67;70;74;108
38;Тредубова Екатерина Александровна;1653.0;138;78;15;139;41;119;99;109;69;86;145;73;207;69;73;84;109
39;Трубина Юлия Вадимовна;259.0;17;12;0;7;8;26;24;14;19;13;26;11;12;14;14;19;23
40;Филатов Александр Владимирович;383.0;23;16;3;21;11;36;19;18;24;23;36;17;18;20;21;24;53
41;Фролов Сергей Владимирович;180.0;8;8;0;9;8;14;17;14;9;11;14;9;9;8;12;10;20
42;Чернавцев Александр Евгеньевич;161.0;5;2;0;8;4;13;9;16;13;19;13;8;10;4;14;8;15
43;Чичеров Алексей Евгеньевич;661.0;15;19;5;31;19;48;69;54;47;48;66;41;33;29;36;37;64
