;name;overall;УИК №504;УИК №505;УИК №506;УИК №507;УИК №509
14;Богатова Ольга Васильевна;823.0;150;123;197;187;166
15;Валуева Марина Анатольевна;437.0;111;74;74;79;99
16;Гарбузов Василий Николаевич;828.0;102;96;158;236;236
17;Добрынин Сергей Александрович;124.0;17;20;27;28;32
18;Каминская Лидия Николаевна;594.0;110;81;141;142;120
19;Кильдишев Илья Николаевич;193.0;45;73;29;25;21
20;Кремлин Леонид Леонидович;177.0;36;20;36;49;36
21;Куликова Надежда Николаевна;543.0;119;115;150;72;87
22;Лаврентьева Екатерина Анатольевна;510.0;94;56;91;128;141
23;Маркарян Каринэ Владимировна;398.0;65;59;108;90;76
24;Невский Михаил Александрович;77.0;6;18;19;20;14
25;Павлов Михаил Валерьевич;103.0;25;12;29;13;24
26;Подзоров Александр Георгиевич;118.0;26;10;23;27;32
27;Рахманов Валерий Алексеевич;218.0;51;27;36;49;55
28;Репникова Екатерина Александровна;134.0;27;16;32;29;30
29;Хамидулин Эрик Артурович;40.0;7;11;10;4;8
