;name;overall;УИК №1500;УИК №1501;УИК №1502;УИК №1503;УИК №1504;УИК №1505;УИК №1513;УИК №1514;УИК №1515;УИК №1516;УИК №1517;УИК №1518;УИК №1519;УИК №1520;УИК №1526;УИК №1527;УИК №1528
14;Баталов Антон Сергеевич;2143.0;108;107;87;128;119;113;128;86;82;87;108;99;81;315;203;153;139
15;Веденеева Яна Владимировна;499.0;25;42;36;36;43;28;39;28;26;24;22;21;27;21;32;21;28
16;Володина Мария Юрьевна;340.0;11;22;15;36;22;32;22;17;12;23;12;22;18;17;26;17;16
17;Герасименко Вера Ивановна;416.0;18;28;27;37;26;29;33;22;19;31;17;29;17;13;25;23;22
18;Горяев Алексей Владимирович;518.0;38;50;36;37;34;16;39;29;30;26;32;20;20;20;35;33;23
19;Гуркова Татьяна Львовна;601.0;36;89;48;50;30;20;36;25;38;38;20;20;25;20;46;29;31
20;Ключникова Ирина Викторовна;1912.0;85;116;91;119;107;102;114;81;83;79;103;115;83;205;178;153;98
21;Копосов Роман Юрьевич;209.0;16;16;14;21;16;5;14;7;7;13;7;7;13;9;20;10;14
22;Ланских Владислав Юрьевич;279.0;20;25;21;16;20;11;23;14;15;14;11;12;13;15;20;13;16
23;Логинова Светлана Альбертовна;858.0;59;90;107;77;51;34;60;37;47;40;40;32;21;26;46;45;46
24;Меньшиков Евгений Владимирович;1530.0;59;71;48;82;86;80;79;54;56;54;69;60;58;284;173;136;81
25;Мещерякова Наталья Юрьевна;1403.0;58;66;53;84;72;71;88;55;52;54;67;67;59;177;165;121;94
26;Опарин Константин Станиславович;389.0;46;32;45;42;26;12;25;20;23;19;14;6;8;15;19;21;16
27;Орионов Валентин Валерьевич;227.0;9;26;16;18;8;19;19;13;8;16;12;11;9;10;15;7;11
28;Павлова Рита Ростиславовна;451.0;39;41;36;49;23;21;26;28;28;18;19;21;14;15;21;27;25
29;Паршиков Иван Григорьевич;495.0;32;61;39;42;34;18;45;26;34;26;18;19;18;12;25;25;21
30;Пашкин Артем Олегович;330.0;19;32;19;23;26;11;22;24;28;13;11;17;16;14;11;26;18
31;Разудалов Юрий Юрьевич;640.0;30;59;39;45;32;21;43;27;28;36;51;51;31;42;32;40;33
32;Руденко Сергей Владимирович;760.0;43;56;46;48;40;23;47;50;194;34;31;22;16;25;24;30;31
33;Сотсков Виктор Сергеевич;1590.0;76;93;72;105;92;96;95;71;65;67;84;67;72;161;167;133;74
