;name;overall;УИК №1262;УИК №1263;УИК №1264;УИК №1265;УИК №1266;УИК №1267;УИК №1268;УИК №1269
14;Авласевич Евгений Олегович;184.0;22;28;26;20;32;16;17;23
15;Антонян Алина Александровна;295.0;31;44;51;42;31;45;19;32
16;Афанасенков Андрей Леонидович;1130.0;143;121;83;161;110;182;92;238
17;Базоева Виктория Владимировна;230.0;31;24;40;44;34;15;13;29
18;Белов Даниил Романович;104.0;7;13;18;13;24;7;8;14
19;Белов Кирилл Леонидович;107.0;10;15;32;16;10;5;9;10
20;Бельский Георгий Александрович;525.0;78;95;80;65;84;36;41;46
21;Бурыкин Леонид Владимирович;72.0;5;15;11;8;17;4;2;10
22;Весельский Борис Николаевич;173.0;18;52;22;13;29;14;7;18
23;Власов Аркадий Роландович;848.0;59;136;150;134;132;86;50;101
24;Власов Евгений Константинович;249.0;19;46;33;35;44;27;21;24
25;Выборнов Максим Евгеньевич;151.0;20;24;26;14;16;9;13;29
26;Гайнулин Шамиль Мухтарович;1190.0;158;141;99;166;110;176;111;229
27;Евстратов Евгений Юрьевич;914.0;133;104;73;138;65;127;74;200
28;Зуева Елена Александровна;472.0;49;107;79;76;41;47;30;43
29;Иванов Сергей Алексеевич;247.0;20;30;39;33;35;29;24;37
30;Иващенко Ирина Алексеевна;420.0;44;61;77;60;66;28;34;50
31;Клочков Рустам Александрович;992.0;142;111;92;148;98;119;79;203
32;Коврикова Людмила Николаевна;1129.0;153;127;114;163;106;144;91;231
33;Крючков Игорь Константинович;379.0;42;74;65;41;37;41;42;37
34;Кучеренко Андрей Александрович;152.0;15;20;17;18;34;21;9;18
35;Ляховецкий Никита Владимирович;769.0;48;115;104;110;130;97;51;114
36;Максимова Татьяна Викторовна;742.0;54;123;110;97;133;81;47;97
37;Малахова Ольга Михайловна;53.0;5;10;12;6;4;5;5;6
38;Маховиков Андрей Валерьевич;756.0;45;114;118;90;147;95;51;96
39;Могунов Илья Вениаминович;126.0;21;10;13;10;25;10;17;20
40;Нестерова Вера Фроловна;147.0;17;34;18;12;27;11;13;15
41;Помелова Елена Ивановна;41.0;2;9;4;8;7;4;4;3
42;Реброва Ирина Арсеньевна;97.0;11;17;23;15;14;8;5;4
43;Салкин Михаил Игоревич;75.0;4;13;5;7;16;8;11;11
44;Сидельников Лев Николаевич;438.0;40;83;66;70;53;53;29;44
45;Соболева Светлана Анатольевна;898.0;59;146;120;135;155;111;54;118
46;Сушкова Александра Николаевна;103.0;10;8;21;12;19;10;7;16
47;Трубицина Наталия Юрьевна;150.0;14;22;22;24;33;9;12;14
48;Хомяков Алексей Валерьевич;380.0;34;81;65;42;41;48;27;42
49;Шавыркина Ирина Александровна;207.0;14;25;32;34;50;12;10;30
50;Шелемех Александр Александрович;61.0;4;9;8;9;11;5;3;12
51;Шкарин Андрей Владимирович;88.0;8;14;12;12;11;10;11;10
