;name;overall;УИК №1338;УИК №1342;УИК №1343;УИК №1344
14;Воеводина Валентина Владимировна;898.0;326;209;205;158
15;Дубоносова Альвина Александровна;90.0;32;21;21;16
16;Дынник Даниил Владимирович;130.0;42;31;29;28
17;Дьяченко Алексей Васильевич;102.0;41;26;17;18
18;Кабанов Юрий Павлович;761.0;272;187;174;128
19;Кадыров Бахтиер Шарифович;43.0;13;12;7;11
20;Кирпичев Александр Олегович;157.0;49;47;36;25
21;Кожарова Наталия Михайловна;81.0;29;18;18;16
22;Коровина Ольга Сергеевна;114.0;38;35;28;13
23;Лексин Олег Владимирович;149.0;35;45;47;22
24;Петренко Юрий Сергеевич;148.0;46;41;32;29
25;Ращупкин Леонид Кузьмич;201.0;54;55;58;34
26;Ситникова Наталья Викторовна;839.0;311;193;193;142
27;Тихонов Валерий Анатольевич;911.0;304;232;217;158
28;Тривайло Андрей Владимирович;86.0;25;26;20;15
29;Федоров Владимир Александрович;286.0;100;77;63;46
30;Федотов Андрей Алексеевич;672.0;257;149;152;114
