;name;overall;УИК №389;
14;Абаева Инга Александровна;235.0;235;
15;Автаева Екатерина Игоревна;437.0;437;
16;Аксенов Андрей Николаевич;81.0;81;
17;Брегман Георгий Маркович;31.0;31;
18;Гамалеев Николай Аркадьевич;128.0;128;
19;Ермакова Ирина Германовна;267.0;267;
20;Захаров Алексей Николаевич;361.0;361;
21;Катаев Виктор Иванович;75.0;75;
22;Катаев Виктор Филиппович;347.0;347;
23;Кашина Наталия Александровна;119.0;119;
24;Коваленко Андрей Иванович;71.0;71;
25;Кудрявцева Марина Александровна;146.0;146;
26;Мартынов Вячеслав Александрович;163.0;163;
27;Машков Максим Олегович;113.0;113;
28;Пьянков Александр Иванович;36.0;36;
29;Самкова Анна Николаевна;65.0;65;
30;Саркисянц Владимир Геворкович;10.0;10;
31;Семенова Юлия Павловна;306.0;306;
32;Синельникова Галина Николаевна;48.0;48;
33;Степанчиков Олег Николаевич;178.0;178;
34;Сухин Алексей Васильевич;136.0;136;
35;Трофимов Сергей Владимирович;62.0;62;
36;Фетищев Александр Дмитриевич;9.0;9;
37;Фролова Юлия Алексеевна;14.0;14;
38;Хатин Марк Николаевич;376.0;376;
