;name;overall;УИК №2227;УИК №2228;УИК №2231;УИК №2232;УИК №2238;УИК №2239;УИК №2240;УИК №2241;УИК №2242;УИК №2243;УИК №2244;УИК №2245;УИК №2246;УИК №2247
14;Афонин Роман Викторович;542.0;31;23;38;42;21;25;39;46;45;33;49;58;44;48
15;Бегларян Камо Лемаксович;183.0;18;13;11;11;9;11;19;15;15;10;13;13;13;12
16;Геворкян Гаянэ Андреевна;122.0;8;7;15;6;8;6;9;11;6;10;8;10;11;7
17;Гонялин Алексей Сергеевич;348.0;19;23;34;21;11;35;25;33;11;27;31;27;25;26
18;Громов Михаил Николаевич;1450.0;47;39;51;42;80;77;86;132;109;107;142;212;170;156
19;Давыдов Владимир Владимирович;501.0;32;31;35;26;26;36;32;45;30;55;36;45;33;39
20;Ефимов Владимир Алексеевич;114.0;10;8;12;10;3;8;6;6;6;13;10;8;7;7
21;Колесов Максим Геннадьевич;1064.0;70;52;88;50;102;62;85;101;72;93;88;67;73;61
22;Королева Светлана Васильевна;632.0;33;27;47;54;37;46;44;46;38;44;62;68;50;36
23;Лапшов Алексей Сергеевич;176.0;13;11;20;17;7;11;8;12;11;11;13;18;14;10
24;Латынин Марк Сергеевич;133.0;13;12;17;5;3;9;9;12;11;4;8;14;11;5
25;Лебедева Наталия Александровна;971.0;47;64;109;90;34;49;56;59;70;109;74;71;64;75
26;Мельников Кирилл Владимирович;1196.0;60;81;127;96;26;161;63;73;66;118;70;85;84;86
27;Менчиц Юрий Владимирович;818.0;31;16;22;27;63;185;80;44;32;106;49;52;63;48
28;Мирошниченко Илья Игоревич;203.0;14;15;14;8;7;27;9;16;9;9;18;23;16;18
29;Панов Алексей Владимирович;1183.0;84;69;101;53;119;57;73;125;75;86;100;85;90;66
30;Понкратова Ксения Андреевна;1173.0;92;87;106;31;108;59;82;122;80;79;91;86;87;63
31;Попов Михаил Александрович;1239.0;51;68;128;198;27;169;64;61;63;111;65;70;89;75
32;Сергеев Игорь Иванович;513.0;30;30;42;25;55;23;41;53;32;55;37;31;28;31
33;Травникова Наталья Анатольевна;1111.0;43;82;163;163;16;164;49;42;57;102;46;62;54;68
34;Федюкин Сергей Александрович;1133.0;41;64;127;142;19;126;61;68;82;117;63;95;59;69
35;Филипчук Михаил Семенович;427.0;26;27;38;27;20;28;38;42;15;27;36;48;25;30
36;Честнейший Марат Степанович;496.0;42;27;26;36;28;28;54;56;21;27;40;52;27;32
