;name;overall;УИК №1850;УИК №1851;УИК №1852;УИК №1853;УИК №1854;УИК №1855;УИК №1856;УИК №1857;УИК №1858;УИК №1859;УИК №1860;УИК №1861;УИК №1862
14;Абдрафикова Райхан Айратовна;228.0;5;47;9;15;13;15;18;18;10;12;21;26;19
15;Амергулова Наталья Николаевна;128.0;4;35;11;9;8;4;10;10;6;4;6;14;7
16;Апикина Анна Владимировна;177.0;14;48;15;14;6;12;9;11;9;5;6;20;8
17;Банов Андрей Михайлович;525.0;22;41;40;41;25;39;31;36;41;37;60;51;61
18;Барин Станислав Владимирович;212.0;18;47;17;20;10;11;8;14;14;11;10;19;13
19;Белаш Александр Александрович;141.0;1;18;9;2;4;2;7;6;7;5;4;53;23
20;Бондаренко Геннадий Анатольевич;1289.0;70;76;79;136;59;57;94;98;148;56;65;152;199
21;Бутов Александр Александрович;666.0;40;19;70;44;42;60;53;68;62;37;54;37;80
22;Буцик Евгений Борисович;175.0;11;18;20;8;9;11;16;14;13;8;13;19;15
23;Галкина Наталья Борисовна;530.0;44;18;61;28;32;36;40;56;62;29;35;43;46
24;Дергачев Николай Александрович;821.0;38;15;81;55;43;93;65;75;66;66;73;51;100
25;Жданов Владимир Николаевич;1292.0;73;62;92;137;67;68;99;94;149;50;51;148;202
26;Ионкина Вера Павловна;175.0;12;15;17;19;3;11;12;15;10;15;11;24;11
27;Королев Владимир Константинович;338.0;28;19;23;26;18;23;28;21;32;14;32;44;30
28;Криницына Елена Владимировна;309.0;15;9;30;24;13;17;21;17;16;53;25;33;36
29;Кузьмина Людмила Михайловна;1072.0;51;35;74;106;54;52;79;83;141;49;43;125;180
30;Ларионова Евгения Иосифовна;966.0;39;44;56;98;47;41;70;75;120;46;54;114;162
31;Леонтьев Александр Борисович;625.0;34;8;67;39;30;61;46;51;51;58;73;39;68
32;Мкртычев Сергей Витальевич;457.0;17;5;25;39;22;38;25;22;43;29;54;54;84
33;Николаев Андрей Николаевич;474.0;29;7;62;34;29;30;41;50;50;29;31;39;43
34;Новокрещенов Вячеслав Сергеевич;230.0;16;6;24;9;6;13;14;12;18;13;18;51;30
35;Перетяченко Виталий Геннадьевич;95.0;6;7;12;13;0;6;6;8;6;4;10;4;13
36;Петров Дмитрий Андреевич;340.0;25;8;28;16;10;16;24;24;25;56;36;40;32
37;Поткина Ольга Викторовна;1116.0;70;47;80;129;58;56;75;81;130;47;45;125;173
38;Самсонов Павел Андреевич;137.0;11;5;17;17;6;11;17;5;10;5;10;8;15
39;Смыслов Павел Александрович;203.0;15;4;25;26;5;9;10;9;16;19;31;22;12
40;Сучкова Анастасия Алексеевна;198.0;9;7;14;17;13;17;25;16;13;16;14;20;17
41;Шишков Владимир Олегович;84.0;4;6;9;6;12;6;6;2;6;6;5;11;5
42;Янес Юлий Салаватович;151.0;11;3;12;9;7;16;19;9;10;5;16;20;14
