;name;overall;УИК №1549;УИК №1550;УИК №1551;УИК №1552;УИК №1553;УИК №1560;УИК №1561;УИК №1563
14;Алиев Руслан Захирали оглы;176.0;16;10;14;26;35;19;25;31
15;Амиров Руслан Рифкатевич;183.0;21;13;32;24;26;14;21;32
16;Бербенец Владислан Владимирович;97.0;6;4;5;8;20;12;28;14
17;Берг Елена Евгеньевна;227.0;37;21;24;33;42;20;28;22
18;Вдовенко Алексей Юрьевич;145.0;12;12;16;18;31;14;25;17
19;Виноградова Римма Александровна;921.0;79;53;109;118;106;128;158;170
20;Власов Сергей Сергеевич;978.0;156;76;114;135;132;107;168;90
21;Ермошкин Денис Александрович;776.0;63;48;120;107;81;107;126;124
22;Иосебадзе Лиана Шалвовна;743.0;70;41;98;91;87;96;135;125
23;Калина Ксения Витальевна;918.0;153;79;90;114;125;121;152;84
24;Корпунова Екатерина Андреевна;258.0;24;18;31;26;56;32;33;38
25;Коченов Алексей Александрович;926.0;147;74;90;117;149;118;149;82
26;Малышева Мария Константиновна;388.0;28;27;59;67;87;42;36;42
27;Модов Алексей Михайлович;164.0;16;10;16;22;25;28;26;21
28;Мотин Максим Владимирович;1488.0;242;133;175;187;194;177;246;134
29;Панов Владимир Егорович;827.0;75;45;112;103;105;111;137;139
30;Сукач Олег Ювенальевич;330.0;25;23;42;72;51;43;38;36
31;Третьюхин Виталий Вячеславович;1223.0;170;85;116;145;174;144;253;136
32;Урюпин Алексей Алексеевич;980.0;87;66;121;125;132;122;168;159
33;Цезарева Елена Станиславовна;285.0;36;16;17;42;44;24;46;60
