;name;overall;УИК №3391;УИК №3392;УИК №3393;УИК №3397;УИК №3398
14;Андрюшкин Юрий Дмитриевич;186.0;30;38;54;53;11
15;Гавришев Алексей Викторович;249.0;68;47;57;51;26
16;Голованенко Луиза Ришатовна;75.0;11;15;21;20;8
17;Еремина Юлия Юрьевна;973.0;167;215;238;248;105
18;Жарков Сергей Александрович;69.0;7;13;24;18;7
19;Занегин Дмитрий Александрович;95.0;11;23;28;23;10
20;Калеганова Марина Геодоровна;1091.0;181;257;260;263;130
21;Коваленко Тамара Георгиевна;381.0;59;110;90;71;51
22;Ковальчук Павел Анатольевич;879.0;158;199;220;206;96
23;Ларина-Бородкина Галина Викторовна;143.0;16;32;33;40;22
24;Нестеренко Людмила Николаевна;116.0;24;25;26;24;17
25;Родионова Ольга Васильевна;139.0;12;22;36;45;24
26;Рябев Андрей Николаевич;184.0;26;32;49;54;23
27;Рязанов Александр Васильевич;89.0;7;17;26;26;13
28;Савицкая Ирина Алексеевна;1177.0;190;283;301;270;133
29;Сухов Вадим Игоревич;106.0;14;24;22;30;16
30;Тимофеев Алексей Вячеславович;86.0;11;13;25;26;11
31;Урсакий Евгений Анатольевич;105.0;13;23;25;30;14
32;Шишонин Юрий Васильевич;1371.0;206;307;359;332;167
33;Якушева Ольга Алексеевна;481.0;75;100;92;138;76
