;name;overall;УИК №2018;УИК №2019;УИК №2020;УИК №2021;УИК №2022;УИК №2023;УИК №2024;УИК №2025;УИК №2026;УИК №2027;УИК №2028;УИК №2029;УИК №2030;УИК №2031
14;Абрамова Елена Ивановна;1402.0;92;141;121;23;114;124;70;119;86;99;75;153;100;85
15;Абрамов-Бубненков Борис Борисович;1396.0;76;122;116;50;82;108;153;103;151;92;68;125;72;78
16;Бельгибаев Артур Болатович;1019.0;30;38;29;123;95;320;10;25;100;168;16;17;24;24
17;Богатырев Сергей Александрович;515.0;50;43;42;43;41;62;27;42;29;21;27;38;23;27
18;Ваваев Андрей Владимирович;265.0;22;21;16;23;23;29;19;21;11;14;15;21;12;18
19;Гладышева Светлана Леонидовна;654.0;54;42;32;36;34;52;163;57;41;23;17;32;27;44
20;Загора Валерий Викторович;301.0;27;24;25;29;19;27;26;11;9;14;19;19;25;27
21;Зайцева Лариса Александровна;1353.0;69;107;102;106;85;111;90;126;124;91;62;123;80;77
22;Лебедев Владимир Иванович;464.0;37;29;24;30;23;31;95;41;39;21;18;16;15;45
23;Лебедев Денис;867.0;106;92;71;59;54;88;39;62;47;41;35;41;56;76
24;Лозинская Наталья Георгиевна;469.0;32;43;33;38;22;51;46;36;23;14;24;36;34;37
25;Мельник Михаил Николаевич;923.0;94;91;69;74;48;102;63;85;51;32;40;46;53;75
26;Мишин Виктор Максимович;360.0;22;35;18;32;28;32;31;26;19;17;16;24;28;32
27;Петрова Елена Валериковна;216.0;13;12;24;15;18;27;14;22;9;10;5;13;12;22
28;Петухов Евгений Борисович;1144.0;61;81;93;91;73;89;56;83;151;81;60;108;67;50
29;Рожкова Анастасия Олеговна;371.0;27;33;18;32;25;23;29;30;21;17;21;29;27;39
30;Смирнов Валерий Николаевич;1363.0;80;106;115;115;97;111;57;105;165;87;63;116;80;66
31;Сурикова Анна Григорьевна;267.0;38;20;16;15;21;28;22;21;9;12;8;21;13;23
32;Темерлина Татьяна Васильевна;461.0;59;39;36;32;32;55;37;27;18;19;23;32;22;30
33;Токарев Сергей Викторович;339.0;34;20;30;23;25;42;21;28;12;20;12;27;23;22
