;name;overall;УИК №1408;УИК №1409;УИК №1410;УИК №1416;УИК №1417;УИК №1418;УИК №1440;УИК №1441;УИК №1442;УИК №1443;УИК №1444;УИК №1445;УИК №1446;УИК №1447
14;Абраменко Екатерина Анатольевна;536.0;46;41;29;18;30;32;40;64;39;36;47;42;29;43
15;Акулов Денис Алексеевич;469.0;51;81;21;12;35;21;22;37;30;33;39;24;25;38
16;Асташкина Марина Анатольевна;1802.0;134;92;121;101;123;87;120;204;191;109;142;128;121;129
17;Багаутдинов Руслан Харисович;1536.0;105;90;105;90;102;80;101;177;164;91;134;101;93;103
18;Военкова Наталья Прокофьевна;352.0;28;25;12;11;21;18;20;47;29;26;30;23;25;37
19;Зинченко Виталий Николаевич;244.0;51;17;12;9;12;15;10;19;18;16;12;20;18;15
20;Курдюкова Наталья Дмитриевна;441.0;29;37;16;22;27;24;40;44;39;30;32;28;31;42
21;Локтионов Виктор Васильевич;1686.0;115;92;115;103;115;79;101;190;188;115;144;97;117;115
22;Радьков Денис Викторович;561.0;58;30;35;18;26;25;56;58;42;44;48;43;39;39
23;Рык Евгений Валентинович;401.0;86;30;15;17;18;24;26;39;27;32;25;18;19;25
24;Самко Дмитрий Викторович;391.0;41;33;28;13;14;21;41;30;29;25;27;30;27;32
25;Сиромаха Валерий Николаевич;769.0;120;55;44;25;36;55;51;67;62;62;46;54;52;40
26;Тимонин Евгений Иванович;1519.0;115;78;104;106;103;79;89;170;154;104;123;97;94;103
27;Тутов Николай Дмитриевич;528.0;63;47;34;22;22;26;43;41;42;31;43;36;39;39
28;Чистякова Наталья Михайловна;1818.0;135;101;129;105;123;87;124;205;193;122;146;131;103;114
