;name;overall;УИК №1753;УИК №1754;УИК №1755;УИК №1756;УИК №1757;УИК №1758;УИК №1759;УИК №1760;УИК №1761
14;Аббасова Наталья Александровна;86.0;10;7;5;7;7;11;3;14;22
15;Аракелян Анна Рафиковна;44.0;6;5;0;5;9;5;6;1;7
16;Белозеров Алексей Владимирович;461.0;73;60;34;10;45;60;49;73;57
17;Бережной Тарас Петрович;110.0;8;16;4;6;19;8;11;19;19
18;Боркова Виктория Владимировна;135.0;15;10;7;10;15;24;12;19;23
19;Григорьева Людмила Васильевна;835.0;77;133;117;39;102;59;85;154;69
20;Егоров Андрей Валерьевич;108.0;13;20;4;6;14;8;12;17;14
21;Зайцева Наталия Геннадьевна;77.0;6;6;2;3;18;10;10;8;14
22;Калачихина Ольга Данииловна;574.0;47;34;57;43;75;62;96;88;72
23;Кедров Сергей Александрович;95.0;13;7;3;4;15;16;14;8;15
24;Кирьянова Людмила Николаевна;777.0;59;126;139;31;93;54;81;124;70
25;Кочергин Владимир Валерьевич;390.0;61;43;24;9;42;53;40;69;49
26;Левштанов Дмитрий Николаевич;110.0;9;15;3;6;18;8;21;17;13
27;Николаева Мария Сергеевна;292.0;25;35;22;28;56;39;36;31;20
28;Окороков Савелий Романович;57.0;8;8;6;4;7;2;8;8;6
29;Павлинов Аркадий Борисович;670.0;63;122;125;10;112;12;97;106;23
30;Рублёв Сергей Андреевич;758.0;84;115;113;53;80;66;80;109;58
31;Рысакова Людмила Ивановна;109.0;10;15;4;4;10;7;15;27;17
32;Самарин Альберт Генрихович;131.0;17;21;3;8;5;14;10;28;25
33;Сафронова Екатерина Петровна;90.0;7;10;2;6;9;11;13;18;14
34;Степанов Алексей Николаевич;113.0;15;14;9;6;15;8;13;17;16
35;Стерлигова Марианна Николаевна;147.0;11;28;7;7;20;13;11;25;25
36;Суходольский Дмитрий Сергеевич;43.0;4;4;3;3;6;7;5;4;7
37;Тарасов Кирилл Николаевич;89.0;9;18;6;7;13;8;6;8;14
38;Шатов Анатолий Николаевич;400.0;52;51;37;11;47;50;37;63;52
