;name;overall;УИК №2819;УИК №2820;УИК №2821;УИК №2822;УИК №2823;УИК №2824;УИК №2825;УИК №2826;УИК №2827;УИК №2828;УИК №2829;УИК №2830;УИК №2831;УИК №2849;УИК №2850;УИК №2851
14;Батутина Вера Мстиславовна;473.0;31;12;35;26;53;47;24;22;36;19;27;13;24;39;33;32
15;Бессонов Аркадий Олегович;245.0;8;8;20;16;31;21;11;16;9;19;20;20;13;10;16;7
16;Бурмакина Вероника Фёдоровна;1064.0;53;48;64;72;80;77;58;67;67;54;77;82;76;55;67;67
17;Вацкова Евгения Юрьевна;267.0;13;8;20;12;35;27;4;18;16;13;12;12;14;19;23;21
18;Ветрянюк Александр Васильевич;881.0;54;30;45;53;84;75;43;56;48;38;41;67;57;72;56;62
19;Гара Федор Сергеевич;106.0;6;7;5;6;7;3;6;6;7;2;9;7;4;10;10;11
20;Гершберг Евгения Игоревна;1911.0;89;108;77;72;87;128;93;201;260;136;112;57;258;90;89;54
21;Дворников Николай Владимирович;140.0;11;6;7;11;15;17;7;12;6;2;11;13;5;5;5;7
22;Захаров Сергей Алексеевич;377.0;17;12;29;17;24;32;24;32;24;22;22;21;12;35;38;16
23;Ильин Сергей Николаевич;291.0;9;26;11;21;31;8;4;13;36;6;4;13;31;18;23;37
24;Иноземцева Анастасия Владимировна;646.0;96;54;82;35;41;26;23;35;25;21;38;43;28;29;46;24
25;Королёва Валентина Петровна;214.0;14;18;19;13;25;8;10;16;12;13;13;7;14;10;11;11
26;Кочергина Зинаида Ивановна;348.0;20;9;31;19;39;31;16;18;22;18;13;17;24;29;24;18
27;Кузнецов Дмитрий Валериевич;915.0;55;30;46;60;82;81;60;59;55;41;46;69;68;51;57;55
28;Кульков Роман Андреевич;309.0;10;19;22;34;66;22;17;14;10;4;13;8;11;15;28;16
29;Летенков Валерий Викторович;132.0;4;6;8;8;14;10;13;8;4;6;16;6;8;4;8;9
30;Лукьянец Марина Александровна;1760.0;76;89;72;65;95;126;75;180;213;150;103;62;238;88;81;47
31;Мамчур Геннадий Владимирович;322.0;19;9;24;19;41;30;17;18;15;13;21;13;17;24;24;18
32;Маслов Алексей Владимирович;134.0;6;11;6;2;1;5;3;0;4;2;2;7;10;18;27;30
33;Мирошниченко Михаил Леонидович;278.0;18;10;9;27;16;24;16;17;34;12;13;18;22;12;14;16
34;Михайловский Александр Всеволодович;975.0;57;153;97;62;79;77;53;40;23;36;36;24;34;66;69;69
35;Орлова Марина Олеговна;1824.0;81;94;71;64;100;121;84;176;216;146;115;61;248;106;82;59
36;Плотников Александр Анатольевич;111.0;6;10;8;13;14;5;6;7;6;3;4;5;6;8;5;5
37;Половова Наталья Николаевна;844.0;40;36;45;61;59;68;46;51;40;41;42;103;63;51;50;48
38;Рыкунов Петр Борисович;101.0;8;7;3;3;16;6;5;5;6;2;7;5;5;8;5;10
39;Сафёров Владимир Николаевич;134.0;22;7;17;5;10;2;10;4;6;4;10;9;5;6;7;10
40;Сафонов Андрей Сергеевич;1484.0;58;71;64;69;96;122;78;150;174;94;80;55;176;80;66;51
41;Сидоренко Андрей Ванадьевич;340.0;12;4;11;8;38;16;15;11;19;15;13;21;16;49;37;55
42;Ситдиков Тимур Ильдарович;201.0;10;6;13;10;32;22;12;10;9;6;9;8;11;10;20;13
43;Сладков Дмитрий Владимирович;144.0;3;8;6;10;11;8;7;1;15;3;17;6;22;9;13;5
44;Строк Евгений Николаевич;233.0;6;7;14;12;44;19;17;11;14;9;14;11;16;16;10;13
45;Суханов Игорь Владимирович;318.0;15;8;23;21;43;23;22;14;17;12;13;9;20;35;26;17
46;Травникова Юлия Владимировна;464.0;23;27;23;24;38;39;30;28;28;29;16;31;53;20;31;24
47;Тугарин Андрей Олегович;224.0;8;7;7;7;7;7;7;9;18;8;16;9;16;49;32;17
48;Хамадьяров Ильдар Набиуллаевич;97.0;6;5;5;3;9;7;6;4;3;6;10;8;8;7;6;4
49;Черникова Татьяна Григорьевна;1836.0;75;94;77;63;95;125;81;213;233;135;105;62;244;105;81;48
50;Шабалин Олег Юрьевич;198.0;4;16;14;14;26;17;8;11;10;7;10;10;13;13;15;10
51;Шаркович Юрий Александрович;435.0;43;21;81;22;60;30;24;20;29;17;13;20;24;15;11;5
52;Шкурко Андрей Анатольевич;399.0;20;30;21;11;30;22;18;18;23;20;11;10;19;102;26;18
53;Щуров Павел Михайлович;916.0;50;31;61;58;92;77;42;47;53;36;36;73;68;69;52;71
54;Ярцев Алексей Николаевич;159.0;5;9;6;15;23;17;6;11;9;5;6;8;13;3;14;9
