;name;overall;УИК №769;УИК №770;УИК №772;УИК №773;УИК №791;УИК №792;УИК №793;УИК №794;УИК №795;УИК №796
14;Богомолов Арсений Борисович;584.0;70;56;50;53;56;76;77;47;68;31
15;Володина Наталья Глебовна;982.0;108;100;85;94;98;100;91;115;131;60
16;Добрынин Сергей Александрович;867.0;90;99;87;79;104;108;73;84;85;58
17;Долгих Маргарита Михайловна;990.0;100;86;115;108;86;95;79;122;121;78
18;Ерошенко Артём Владимирович;612.0;88;54;59;56;58;124;60;40;41;32
19;Ефимов Александр Борисович;738.0;103;80;64;67;80;84;79;66;83;32
20;Ефимов Максим Владимирович;328.0;32;34;38;29;33;41;31;26;41;23
21;Жафяров Руслан Ряшидович;260.0;40;24;30;28;19;29;20;25;24;21
22;Звирзд Владимир Владимирович;629.0;63;57;101;68;47;59;42;72;77;43
23;Зуйков Александр Владимирович;698.0;89;86;118;61;62;62;67;51;66;36
24;Коротких Виктория Петровна;861.0;95;76;91;98;72;92;60;97;117;63
25;Моложин Станислав Сергеевич;865.0;71;85;111;106;65;76;66;109;133;43
26;Ромеро Барренечеа Ольга Валентиновна;211.0;33;15;23;17;19;25;18;22;25;14
27;Свидинский Тимофей Николаевич;179.0;17;9;14;21;22;16;20;17;25;18
28;Сосновских Ольга Александровна;418.0;60;38;38;33;36;53;54;39;46;21
29;Сурков Михаил Алексеевич;565.0;58;69;79;52;68;55;51;46;55;32
30;Томилин Роман Витальевич;534.0;67;47;47;54;60;64;63;41;63;28
31;Хасметдинов Дамир Мясумович;195.0;20;16;22;13;19;14;21;29;21;20
32;Ярулин Семен Александрович;186.0;26;20;20;18;17;18;24;21;13;9
