;name;overall;УИК №375;УИК №376;УИК №377;УИК №378;УИК №379;УИК №380;УИК №387;УИК №388
14;Анищенко Валерий Валерьевич;179.0;29;24;17;38;31;23;4;13
15;Войтова Ольга Владимировна;1038.0;106;96;88;177;108;88;20;355
16;Волгин Юрий Сергеевич;309.0;44;56;47;69;27;38;5;23
17;Воронцов Евгений Владимирович;140.0;26;11;20;30;19;18;5;11
18;Гусева Елена Борисовна;404.0;38;46;43;89;101;69;7;11
19;Джантемиров Зелимхан Исаевич;129.0;23;19;20;27;13;13;2;12
20;Дягилев Александр Маратович;370.0;39;51;53;99;65;39;6;18
21;Калачева Наталья Николаевна;870.0;144;155;164;142;144;102;10;9
22;Королев Валентин Андреевич;91.0;10;5;13;18;11;15;3;16
23;Кузьмина Вероника Александровна;199.0;28;29;33;41;24;30;4;10
24;Наконечный Юрий Валерьевич;53.0;3;6;7;12;6;7;1;11
25;Новиков Виталий Викторович;92.0;13;12;12;10;12;21;2;10
26;Озеров Василий Игоревич;762.0;113;120;138;132;137;98;11;13
27;Русанов Евгений Евгеньевич;919.0;94;78;72;145;100;78;19;333
28;Семенов Дмитрий Борисович;259.0;26;46;49;49;39;33;5;12
29;Сидашенко Андрей Ильич;85.0;9;15;8;21;7;17;2;6
30;Сидельников Роман Леонидович;834.0;125;166;159;137;143;87;12;5
31;Силина Ирина Германовна;125.0;17;12;25;33;13;19;2;4
32;Солдатенков Святослав Олегович;711.0;109;124;132;128;122;77;10;9
33;Тихонюк Татьяна Альбертовна;961.0;116;73;81;163;106;78;16;328
34;Третьяков Андрей Викторович;247.0;34;37;42;49;35;28;4;18
35;Цыганова Анна Владимировна;150.0;21;17;27;30;15;20;2;18
36;Чистовский Дмитрий Иванович;775.0;117;123;131;144;130;98;13;19
37;Шейхов Махач Расулович;913.0;94;75;59;118;90;66;13;398
38;Якунина Галина Александровна;1035.0;115;99;80;170;114;81;19;357
