;name;overall;УИК №30;УИК №31;УИК №32;УИК №33;УИК №34;УИК №35;УИК №36;УИК №37
14;Артюшенков Василий Викторович;491.0;59;62;64;73;62;50;72;49
15;Архипов Юрий Александрович;746.0;71;84;69;70;163;87;126;76
16;Бандурин Михаил Алексеевич;175.0;29;27;14;22;22;18;20;23
17;Бывальцев Евгений Николаевич;244.0;29;28;21;51;32;31;36;16
18;Гарбер Михаил Юльевич;129.0;21;18;14;15;14;12;14;21
19;Ерофеева Татьяна Владимировна;153.0;27;22;19;15;12;14;24;20
20;Кавказский Николай Юрьевич;715.0;104;94;93;95;118;67;87;57
21;Коган Юрий Владимирович;131.0;11;20;18;12;14;16;25;15
22;Копосова Светлана Геннадьевна;214.0;17;30;22;35;34;32;27;17
23;Кроленко-Филиппова Надежда Юрьевна;300.0;39;41;32;32;43;38;39;36
24;Мазнев Андрей Анатольевич;101.0;13;11;8;10;13;15;15;16
25;Мамонтов Георгий Витальевич;767.0;81;101;101;153;59;85;91;96
26;Мейер Виктор Викторович;852.0;102;105;116;183;53;90;95;108
27;Мелоян Арсен Агасиевич;128.0;19;28;8;20;21;9;13;10
28;Мисюра Дмитрий Андреевич;520.0;24;22;25;18;216;52;122;41
29;Мищенко Станислав Викторович;119.0;14;14;11;14;22;13;19;12
30;Мохнев Артем Игоревич;176.0;12;21;17;7;66;12;30;11
31;Охапкин Юрий Кириллович;158.0;22;25;9;24;19;19;17;23
32;Панкин Александр Анатольевич;224.0;23;32;25;39;26;20;44;15
33;Поляков Александр Алексеевич;299.0;42;47;25;36;38;34;44;33
34;Саватеев Вадим Витальевич;240.0;20;24;19;25;58;32;36;26
35;Синьков Андрей Геннадьевич;723.0;90;88;103;155;43;67;81;96
36;Хамидуллин Владислав Фаатович;83.0;11;10;16;12;8;8;11;7
37;Черномор Андрей Александрович;677.0;77;77;92;95;111;75;95;55
38;Швейцов Николай Алексеевич;195.0;17;18;29;32;20;30;31;18
39;Эстон Олег Владимирович;820.0;97;108;125;170;58;80;91;91
