;name;overall;УИК №420;УИК №421;УИК №422;УИК №423;УИК №424;УИК №425;УИК №439
14;Ануфриева Наталья Викторовна;942.0;121;187;117;145;124;127;121
15;Бадова Светлана Владимировна;202.0;35;32;24;27;28;24;32
16;Белавский Евгений Владимирович;1186.0;137;155;168;147;234;223;122
17;Галямина Юлия Евгеньевна;1507.0;160;207;242;192;320;218;168
18;Глухих Олег Александрович;1104.0;118;184;145;150;166;166;175
19;Головин Сергей Алексеевич;122.0;21;10;17;16;24;17;17
20;Гуняев Александр Георгиевич;196.0;24;23;40;20;62;13;14
21;Дерюгина Валентина Львовна;186.0;31;21;29;25;25;25;30
22;Дорофеев Олег Сергеевич;261.0;40;44;29;34;49;29;36
23;Еременко Валерий Петрович;156.0;29;26;36;14;25;12;14
24;Жарикова Наталья Владимировна;842.0;93;185;115;128;100;112;109
25;Железняк Сергей Владимирович;153.0;19;15;23;21;40;17;18
26;Ковалев Александр Сергеевич;93.0;15;11;16;15;14;13;9
27;Конарева Галина Сергеевна;819.0;70;173;114;127;100;118;117
28;Крайсман Владислав Сергеевич;88.0;16;16;13;12;10;14;7
29;Куксина Наталия Сергеевна;1321.0;144;185;206;168;279;187;152
30;Кулешов Дмитрий Георгиевич;226.0;51;16;21;36;36;30;36
31;Михайлова Татьяна Александровна;1044.0;131;154;180;118;230;145;86
32;Москвин Андрей Александрович;87.0;23;13;13;10;18;4;6
33;Никонова Галина Владимировна;334.0;71;41;33;47;38;64;40
34;Пахомова Елена Николаевна;147.0;37;13;19;24;23;17;14
35;Петров Андрей Анатольевич;973.0;115;140;167;126;208;128;89
36;Семенов Вячеслав Викторович;266.0;39;21;23;46;42;49;46
37;Сирко Игорь Владимирович;73.0;9;10;23;7;5;10;9
38;Торубаров Сергей Феликсович;838.0;107;162;124;126;114;105;100
39;Яровой Владимир Федорович;132.0;25;18;21;19;18;15;16
