;name;overall;УИК №2248;УИК №2249;УИК №2250;УИК №2251;УИК №2252;УИК №2253;УИК №2254;УИК №2255;УИК №2256
14;Аносов Виталий Витальевич;270.0;35;39;34;19;37;7;31;29;39
15;Антонова Елена Александровна;146.0;23;29;11;14;21;2;18;9;19
16;Белкин Андрей Александрович;272.0;29;35;38;23;27;13;53;27;27
17;Будко Александр Анатольевич;641.0;65;105;96;47;48;14;83;101;82
18;Герасимов Александр Сергеевич;912.0;81;105;123;121;115;18;112;117;120
19;Горбачева Елена Сергеевна;192.0;17;31;25;12;22;7;35;24;19
20;Дворова Ирина Лазаревна;732.0;62;99;110;91;116;18;12;119;105
21;Долженков Юрий Михайлович;106.0;11;17;7;8;17;1;16;13;16
22;Еникеева Наталья Александровна;150.0;18;26;14;12;17;3;13;32;15
23;Здравчев Никита Сергеевич;611.0;67;79;78;46;60;8;80;85;108
24;Каблов Игорь Викторович;255.0;32;33;43;26;22;9;34;23;33
25;Кадухина Валентина Михайловна;892.0;62;100;114;88;131;18;124;130;125
26;Косарева Валентина Владимировна;800.0;64;99;106;88;108;17;103;116;99
27;Кохов Сергей Викторович;144.0;16;16;22;13;14;6;27;16;14
28;Кузнецов Вячеслав Александрович;189.0;24;25;24;15;18;8;33;21;21
29;Курганский Сергей Борисович;216.0;28;29;35;17;25;4;33;16;29
30;Либман Михаил Борисович;705.0;72;103;118;77;59;12;81;87;96
31;Либман Наталья Олеговна;695.0;66;108;113;77;57;11;82;83;98
32;Лягушин Владимир Евгеньевич;107.0;9;9;9;8;12;3;15;17;25
33;Онищук Жанна Константиновна;51.0;2;13;7;3;10;0;4;6;6
34;Петров Андрей Михайлович;632.0;64;103;102;60;54;11;75;82;81
35;Плотников Игорь Владимирович;88.0;9;9;10;10;4;2;14;11;19
36;Пьяных Александр Викторович;130.0;9;15;18;8;19;3;25;21;12
37;Смышляева Елена Анатольевна;823.0;61;91;105;83;105;20;117;114;127
38;Сухова Валентина Петровна;98.0;8;8;14;6;19;2;17;18;6
39;Шевцов Илья Максимович;140.0;21;19;15;10;15;4;11;18;27
40;Юрий Сергей Константинович;142.0;15;16;16;9;12;7;15;22;30
