;name;overall;УИК №290;УИК №291;УИК №292;УИК №293;УИК №294;УИК №295;УИК №296;УИК №297;УИК №298
14;Артамонова Людмила Николаевна;849.0;143;116;100;88;86;78;52;80;106
15;Байкова Нина Павловна;500.0;72;53;52;49;33;41;54;57;89
16;Вяльченкова Наталья Васильевна;817.0;122;99;89;86;86;80;56;80;119
17;Девицкая Яна Станиславовна;306.0;42;48;35;24;27;42;37;17;34
18;Зимина Елена Александровна;477.0;70;49;64;43;40;82;67;28;34
19;Карасёв Сергей Валерьевич;222.0;45;32;25;17;13;17;27;23;23
20;Климова Людмила Ивановна;315.0;50;43;54;31;14;29;36;26;32
21;Контарёв Евгений Анатольевич;166.0;23;24;16;11;16;21;19;18;18
22;Кунев Иван Александрович;194.0;45;31;29;12;20;17;13;13;14
23;Мусаев Шукюр Агамир оглы;267.0;39;30;40;25;14;23;25;25;46
24;Наумова Елена Александровна;464.0;99;56;74;59;19;32;35;55;35
25;Никишов Дмитрий Григорьевич;197.0;27;29;24;24;20;24;16;18;15
26;Островский Антон Николаевич;430.0;76;73;45;51;28;35;45;27;50
27;Пазиков Тимур Олегович;198.0;29;28;35;18;15;20;19;18;16
28;Панкова Ирина Михайловна;814.0;121;109;119;91;69;60;54;94;97
29;Погодина Екатерина Андреевна;642.0;122;108;87;72;45;48;63;40;57
30;Поздышев Иван Александрович;582.0;121;83;81;63;33;46;62;41;52
31;Санева Людмила Владимировна;402.0;61;48;62;40;19;31;43;47;51
32;Сердцев Александр Иванович;270.0;58;31;29;17;29;24;20;30;32
33;Фомкин Дмитрий Александрович;695.0;94;98;87;73;66;53;56;71;97
34;Харинова Ирина Васильевна;854.0;201;124;99;76;68;56;50;82;98
35;Хмелевский Артем Станиславович;418.0;73;50;69;50;22;31;50;46;27
36;Чернявский Илья Иосифович;377.0;48;54;37;43;39;42;44;43;27
