;name;overall;УИК №630;УИК №631;УИК №632;УИК №633;УИК №634;УИК №635;УИК №636
14;Джавад-Заде Всеволод Игоревич;313.0;24;24;49;69;34;62;51
15;Зайцева Антонина Константиновна;180.0;33;28;28;23;18;33;17
16;Климова Оксана Анатольевна;1072.0;135;98;257;171;143;152;116
17;Кузнецов Владислав Валерьевич;285.0;41;30;43;60;27;49;35
18;Кузнецов Владислав Викторович;770.0;97;55;102;258;79;110;69
19;Лысенкова Наталия Владимировна;1045.0;150;116;214;165;131;149;120
20;Макаркин Сергей Александрович;814.0;101;54;98;267;114;104;76
21;Макарова Марина Владимировна;1087.0;197;114;210;216;139;125;86
22;Малухин Евгений Сергеевич;140.0;15;9;14;22;20;33;27
23;Мищенко Владислав Владимирович;475.0;72;75;46;65;63;83;71
24;Мокасеев Алексей Вячеславович;229.0;41;30;22;46;28;35;27
25;Насонов Александр Сергеевич;365.0;51;41;24;72;45;72;60
26;Новиков Александр Вячеславович;132.0;23;16;17;24;20;17;15
27;Павлов Андрей Анатольевич;477.0;93;51;35;76;56;100;66
28;Плюхова Елена Николаевна;666.0;101;42;74;219;78;90;62
29;Санникова Валерия Андреевна;100.0;10;18;13;16;7;20;16
30;Селиванов Роман Юрьевич;124.0;27;12;13;36;11;13;12
31;Филатчев Олег Владимирович;303.0;45;39;23;48;39;76;33
32;Филиппова Людмила Ивановна;1025.0;124;114;271;188;125;115;88
