;name;overall;УИК №1187;УИК №1188;УИК №1201;УИК №1202;УИК №1203;УИК №1204;УИК №1205;УИК №1206;УИК №1207;УИК №1208;УИК №1209
14;Асеева Ирина Викторовна;1183.0;125;93;108;108;93;78;88;121;118;131;120
15;Багдасарян Давид Иванович;332.0;22;31;34;16;20;30;25;49;40;30;35
16;Бадулин Алексей Иванович;1199.0;83;95;111;101;98;70;90;178;157;116;100
17;Болотова Раиса Алексеевна;1184.0;120;71;104;92;105;80;114;138;112;129;119
18;Буртиев Омар Зетович;323.0;29;21;27;21;27;28;23;49;25;39;34
19;Горбов Борис Геннадиевич;1056.0;88;69;111;93;84;63;77;125;102;127;117
20;Ефанов Григорий Валерьевич;1053.0;72;86;103;91;89;62;85;148;130;103;84
21;Иноземцева Надежда Игоревна;1067.0;109;63;108;92;80;66;83;121;110;118;117
22;Комиссарова Наталья Львовна;1149.0;83;97;103;113;99;57;88;155;154;110;90
23;Малиновский Максим Анатольевич;211.0;18;10;20;24;23;13;15;22;24;21;21
24;Маркова Татьяна Алексеевна;175.0;20;17;9;17;19;17;16;15;13;20;12
25;Монахов Валерий Федорович;395.0;59;35;25;39;25;27;32;45;36;47;25
26;Петроченков Степан Сергеевич;360.0;29;21;37;38;41;27;32;39;28;38;30
27;Пиганов Арсений Яковлевич;429.0;35;29;34;37;49;29;33;52;40;48;43
28;Полякова Александра Григорьевна;855.0;81;65;89;56;94;44;69;98;78;92;89
29;Соколова Ксения Владимировна;450.0;35;36;48;37;45;31;38;49;34;49;48
30;Фирфаров Константин Владимирович;1083.0;99;63;99;98;88;64;87;114;105;140;126
31;Фомкин Никита Сергеевич;865.0;65;68;125;82;59;37;68;136;93;74;58
32;Хамзина Елена Николаевна;147.0;12;11;10;19;17;9;12;21;15;14;7
33;Царева Ирина Васильевна;475.0;42;38;37;38;49;34;39;57;43;54;44
34;Шереметьев Игорь Валентинович;960.0;119;112;72;72;83;50;69;119;95;88;81
