;name;overall;УИК №1955;УИК №1967;УИК №1975;УИК №1976;УИК №1977;УИК №1978;УИК №1979;УИК №1980;УИК №1981;УИК №1982;УИК №1983;УИК №1984
14;Антонова Ирина Петровна;1956.0;120;110;137;142;185;96;152;193;199;240;178;204
15;Афанасьева Алла Анатольевна;1476.0;94;98;115;109;146;90;115;139;140;175;116;139
16;Годлевская Елена Олеговна;312.0;27;23;16;34;28;12;19;29;26;40;28;30
17;Зайцев Дмитрий Алексеевич;627.0;61;38;42;72;38;29;42;73;51;55;34;92
18;Зубков Владимир Владимирович;337.0;31;20;29;37;21;19;23;44;22;27;13;51
19;Колмаков Игорь Валерьевич;260.0;26;15;20;22;16;8;11;34;19;27;21;41
20;Комиссарова Альбина Анатольевна;1543.0;94;102;132;144;176;69;115;154;136;156;121;144
21;Комовская Оксана Александровна;272.0;37;22;16;20;21;5;16;31;22;37;24;21
22;Кондратьев Александр Сергеевич;338.0;40;20;14;46;37;10;15;33;30;38;29;26
23;Кузнецов Дмитрий Викторович;455.0;47;34;35;54;34;22;31;54;36;41;27;40
24;Плешков Даниил Анатольевич;233.0;27;19;16;20;24;13;12;25;18;24;18;17
25;Привалова Татьяна Сергеевна;250.0;17;24;18;27;30;9;24;28;23;21;10;19
26;Прилепина Ольга Алексеевна;1558.0;97;95;121;115;144;73;113;157;132;260;111;140
27;Таран Петр Васильевич;327.0;31;23;21;30;28;11;18;36;28;62;23;16
28;Тимкаева Няиля Шагидулловна;198.0;17;17;22;23;18;14;14;8;11;26;17;11
29;Титов Кирилл Глебович;306.0;23;25;17;35;26;16;14;36;23;50;19;22
30;Тулупова Елена Валентиновна;282.0;29;21;30;28;25;16;10;27;21;26;23;26
31;Хватова Дарья Сергеевна;155.0;12;10;13;20;13;6;14;24;15;16;4;8
32;Шляпникова Марина Федоровна;160.0;14;10;10;17;18;10;6;19;10;12;19;15
33;Щеглов Александр Юрьевич;266.0;23;15;17;18;37;18;11;24;23;38;25;17
34;Яшкин Андрей Петрович;1595.0;93;95;117;123;161;103;117;139;126;268;113;140
