;name;overall;УИК №3162;УИК №3163;УИК №3164;УИК №3165;УИК №3166;УИК №3167;УИК №3168;УИК №3169;УИК №3170;УИК №3171
14;Будкин Денис Юрьевич;1340.0;149;119;117;145;118;111;111;129;182;159
15;Грачева Нелли Анатольевна;189.0;22;17;20;28;19;15;24;14;12;18
16;Жданова Юлия Александровна;951.0;111;61;62;118;114;95;77;112;83;118
17;Ижутова Ольга Григорьевна;178.0;17;15;17;16;13;20;13;9;23;35
18;Кондусова Ольга Сергеевна;223.0;15;9;13;25;28;62;13;18;15;25
19;Королёв Сергей Николаевич;424.0;36;14;19;39;62;91;41;33;48;41
20;Митяев Александр Константинович;129.0;10;12;10;15;15;13;18;12;14;10
21;Нивин Сергей Павлович;801.0;84;52;42;97;74;77;69;115;80;111
22;Образцов Алексей Васильевич;1258.0;186;108;104;129;110;101;116;117;149;138
23;Павлова Елена Анатольевна;682.0;91;55;38;70;88;76;80;49;53;82
24;Родионова Мария Николаевна;189.0;28;12;14;18;18;21;23;11;18;26
25;Романцов Дмитрий Владимирович;291.0;45;27;26;29;27;22;33;21;25;36
26;Старостина Татьяна Дмитриевна;1213.0;134;106;95;124;136;109;114;108;152;135
27;Трасковецкая Ирина Геннадьевна;1208.0;152;110;95;114;107;109;116;113;149;143
28;Тупиков Максим Михайлович;160.0;20;7;11;19;17;17;22;10;18;19
29;Фефилов Григорий Вадимович;772.0;100;49;49;107;65;70;62;106;69;95
30;Царев Артём Андреевич;854.0;94;48;53;106;87;89;76;123;74;104
31;Шишкина Наталья Булатовна;156.0;20;9;16;11;24;12;7;12;18;27
