;name;overall;УИК №1476;УИК №1477;УИК №1479;УИК №1480;УИК №1481;УИК №1482;УИК №1483;УИК №1484;УИК №1485;УИК №1486;УИК №1487;УИК №1488;УИК №1489;УИК №1490;УИК №1496;УИК №1497;УИК №1498;УИК №1499
14;Антипов Павел Павлович;360.0;30;30;32;16;16;19;28;20;13;13;10;14;15;19;24;16;22;23
15;Барбашенков Константин Владимирович;938.0;58;57;49;41;68;42;43;49;59;51;58;68;40;59;64;32;58;42
16;Галаган Константин Викторович;200.0;15;9;20;6;6;13;12;6;8;11;6;12;10;13;19;8;16;10
17;Голицына Ольга Вячеславовна;2267.0;157;126;146;170;101;121;122;171;128;154;121;75;139;81;140;78;117;120
18;Деев Алексей Владимирович;420.0;39;21;27;26;23;19;29;19;23;24;9;20;21;26;31;20;22;21
19;Дьяченко Владислав Александрович;961.0;56;60;51;41;49;42;39;66;59;57;57;65;49;64;59;40;58;49
20;Ковалевич Юрий Владимирович;1795.0;138;112;117;152;81;96;89;123;94;158;92;51;96;64;100;57;87;88
21;Кузин Александр Владимирович;1721.0;148;91;116;140;72;85;79;131;87;122;98;61;97;62;103;64;79;86
22;Кучкильдинов Александр Игоревич;479.0;32;25;29;24;25;21;31;21;24;27;17;27;30;29;43;24;22;28
23;Лаврентичев Сергей Валерьевич;1658.0;126;91;113;132;71;97;85;121;84;126;72;55;99;61;93;60;78;94
24;Лебедев Игорь Владимирович;321.0;17;25;31;21;14;16;23;17;15;19;13;14;17;13;23;11;14;18
25;Логинова Кристина Андреевна;641.0;37;42;34;24;31;29;34;31;30;41;33;45;41;34;51;25;39;40
26;Метельский Сергей Александрович;867.0;49;53;42;31;57;48;35;41;54;45;55;68;45;58;61;36;54;35
27;Минаева Светлана Андреевна;441.0;18;27;30;17;17;18;26;30;18;17;28;24;22;25;34;17;25;48
28;Никифоров Виталий Андреевич;886.0;45;59;45;34;46;37;34;48;56;55;47;82;62;46;57;37;60;36
29;Новиков Алексей Сергеевич;918.0;48;52;49;40;56;45;33;59;67;58;54;66;50;51;56;42;51;41
30;Паршиков Денис Иванович;527.0;35;24;30;34;28;28;35;27;24;24;26;26;31;28;47;24;28;28
31;Сердобольская Лидия Сергеевна;373.0;16;30;30;21;18;23;30;23;24;16;14;14;15;13;33;9;29;15
32;Скаморина Ирина Михайловна;391.0;25;23;22;31;19;21;25;25;18;18;20;20;22;13;25;20;26;18
33;Старостина Галина Ивановна;480.0;17;27;23;32;25;26;31;29;29;30;36;23;28;16;29;13;37;29
34;Терешкин Вячеслав Евгеньевич;237.0;14;15;14;20;10;7;12;12;7;11;18;15;11;9;13;11;24;14
35;Трунова Тамара Васильевна;2313.0;156;133;161;193;97;113;103;169;133;157;135;72;132;124;125;73;119;118
