;name;overall;УИК №1102;УИК №1103;УИК №1104;УИК №1105;УИК №1106;УИК №1107;УИК №1109;УИК №1111;УИК №1113
14;Аганин Андрей Иванович;290.0;42;23;38;26;42;27;22;33;37
15;Боринец Вера Егоровна;838.0;68;80;73;100;141;71;93;100;112
16;Борисов Владимир Игоревич;864.0;86;79;84;99;133;80;91;108;104
17;Грибанова Людмила Ростиславна;225.0;23;27;19;20;40;17;20;34;25
18;Змиева Кира Анатольевна;789.0;69;71;70;91;112;76;80;86;134
19;Карелов Олег Андреевич;556.0;70;50;67;25;65;86;64;86;43
20;Кифа Татьяна Валерьевна;212.0;30;27;19;23;32;18;15;28;20
21;Комбарова Елена Ивановна;163.0;20;17;16;19;30;8;16;22;15
22;Кузьмина Елена Евгеньевна;243.0;24;28;29;25;32;24;22;27;32
23;Левин Станислав Леонидович;98.0;18;9;10;13;9;7;6;14;12
24;Лимберова Инна Викторовна;450.0;46;50;44;47;68;40;48;55;52
25;Михалкина Юлия Александровна;617.0;71;54;77;47;69;93;72;92;42
26;Новикова Людмила Юрьевна;794.0;85;81;66;102;112;71;88;92;97
27;Носов Герман Викторович;334.0;42;36;43;29;44;36;28;55;21
28;Саркисян Павел Степанович;491.0;80;53;54;34;52;83;43;53;39
29;Тельцов Игорь Владимирович;110.0;20;7;13;12;10;5;11;17;15
30;Шестаева Светлана Эдуардовна;492.0;62;48;64;38;49;73;63;65;30
