;name;overall;УИК №741;УИК №742;УИК №743;УИК №744;УИК №745;УИК №746;УИК №747
14;Голубева Ирина Васильевна;672.0;77;98;163;14;85;109;126
15;Гордовский Денис Эдуардович;154.0;25;22;35;6;27;9;30
16;Замышляев Максим Александрович;128.0;16;19;26;2;28;6;31
17;Захаров Сергей Владимирович;276.0;39;38;50;11;42;19;77
18;Кириллов Игорь Николаевич;560.0;67;79;108;12;80;102;112
19;Киселев Владимир Валерьевич;543.0;76;91;117;13;94;40;112
20;Клеева Ольга Борисовна;517.0;56;71;118;11;75;102;84
21;Кравчук Ольга Владимировна;763.0;111;136;165;24;134;33;160
22;Кузьменкова Елена Ивановна;220.0;33;25;41;6;46;16;53
23;Лысых Алексей Сергеевич;154.0;20;20;33;9;31;11;30
24;Марченко Вадим Янович;753.0;97;129;171;19;142;39;156
25;Минакова Анастасия Ярославовна;70.0;11;8;16;1;12;7;15
26;Могилевич Александр Волькович;429.0;56;54;82;4;53;106;74
27;Поволоцкий Петр Михайлович;365.0;47;44;86;6;72;28;82
28;Пырикова Екатерина Андреевна;121.0;24;12;20;4;22;7;32
29;Рогов Константин Олегович;568.0;76;100;154;23;93;18;104
30;Сафронов Денис Николаевич;266.0;37;29;60;9;45;22;64
31;Скачков Василий Викторович;450.0;45;56;101;4;49;114;81
32;Тарасов Дмитрий Евгеньевич;215.0;22;18;46;2;40;18;69
33;Тупиков Константин Николаевич;406.0;59;66;92;8;69;22;90
34;Филиппов Александр Алексеевич;132.0;18;20;31;2;15;13;33
35;Хиль Алла Васильевна;210.0;30;23;46;5;33;16;57
36;Чирков Владимир Юрьевич;128.0;10;13;27;4;27;8;39
37;Чупраков Руслан Азамович;71.0;10;9;17;0;12;4;19
