;name;overall;УИК №940;УИК №941
14;Айсина Зифа Мухтасовна;301.0;150;151
15;Артемов Александр Владимирович;172.0;80;92
16;Балмышев Алексей Валерьевич;34.0;13;21
17;Балмышева Роза Ахсановна;33.0;15;18
18;Волкова Татьяна Александровна;302.0;154;148
19;Гаврилов Вячеслав Александрович;104.0;57;47
20;Голдюк Кристина Максимовна;47.0;28;19
21;Иванова Карина Нуриджановна;48.0;31;17
22;Касаев Мурат Борисович;36.0;18;18
23;Ключникова Тамара Геннадьевна;26.0;14;12
24;Косова Вера Александровна;81.0;50;31
25;Ларионов Сергей Викторович;293.0;151;142
26;Малинина Ирина Вячеславна;197.0;87;110
27;Наумов Александр Юрьевич;70.0;41;29
28;Огнева Наталья Алексеевна;145.0;52;93
29;Огульчанская Алена Васильевна;488.0;268;220
30;Огурцов Николай Анатольевич;428.0;222;206
31;Перепечин Олег Николаевич;332.0;170;162
32;Погорелов Владимир Васильевич;314.0;158;156
33;Покрашевская Аида Михайловна;300.0;155;145
34;Полтавцева Ирина Павловна;431.0;210;221
35;Сахаров Алексей Владимирович;263.0;120;143
36;Сурмилин Антон Дмитриевич;249.0;106;143
37;Тарасова Мария Сергеевна;124.0;74;50
