;name;overall;УИК №2580;УИК №2581;УИК №2582;УИК №2583;УИК №2584;УИК №2585;УИК №2586;УИК №2587;УИК №2588;УИК №2589;УИК №2590
14;Абрамова Галина Анатольевна;855.0;93;159;116;110;84;79;50;21;50;50;43
15;Акимов Валерий Романович;256.0;37;29;36;30;19;23;19;12;19;21;11
16;Аппаков Азамат Рустамович;114.0;7;9;12;15;15;12;16;2;7;12;7
17;Батюнина Наталья Вячеславовна;310.0;39;34;44;37;30;26;27;12;17;33;11
18;Безкоровайный Руслан Александрович;1321.0;110;99;174;110;110;64;80;196;184;103;91
19;Бобышев Сергей Александрович;373.0;25;40;54;38;37;36;34;17;42;31;19
20;Викторова Татьяна Валентиновна;339.0;37;46;44;33;32;28;25;20;24;27;23
21;Войтенков Антон Юрьевич;792.0;108;98;92;105;75;76;51;47;34;57;49
22;Волгина Мария Олеговна;272.0;25;28;45;27;27;26;16;10;22;24;22
23;Востриков Антон Александрович;164.0;15;15;29;22;17;9;15;6;19;12;5
24;Горшкова Владислава Геннадиевна;1296.0;160;139;171;79;132;139;102;58;99;142;75
25;Дорожкина Галина Павловна;1400.0;115;119;183;119;123;67;97;158;173;148;98
26;Ковальчук Василий Аркадьевич;147.0;18;19;15;16;17;9;7;12;9;12;13
27;Кондратьев Лев Ефимович;263.0;31;31;31;36;28;18;23;14;25;12;14
28;Котов Федор Геннадьевич;170.0;22;19;30;11;19;9;11;12;11;18;8
29;Логунов Иван Викторович;631.0;75;73;72;84;65;58;41;31;36;52;44
30;Матвеев Антон Вадимович;391.0;40;40;72;31;32;25;46;27;33;21;24
31;Митерёв Егор Николаевич;710.0;78;79;73;71;65;69;57;46;63;57;52
32;Наумов Александр Викторович;911.0;137;109;103;58;98;99;65;50;58;90;44
33;Пахомова Юлия Анатольевна;1341.0;108;98;189;99;114;63;80;214;156;124;96
34;Петлевой Эдуард Владимирович;1206.0;91;82;161;128;107;50;69;178;146;94;100
35;Рудакова Светлана Александровна;104.0;9;13;19;3;7;7;14;8;10;9;5
36;Самойлов Аркадий Евгеньевич;365.0;30;42;57;36;37;30;28;31;28;31;15
37;Ситникова Екатерина Сергеевна;87.0;5;9;15;9;9;11;6;1;15;3;4
38;Советкин Сергей Викторович;1289.0;113;100;187;111;116;59;84;162;144;109;104
39;Сопичев Дмитрий Александрович;963.0;136;96;112;55;105;110;65;77;70;85;52
40;Усачев Никита Юрьевич;1069.0;153;125;138;70;121;114;77;54;69;98;50
41;Чернова Татьяна Юрьевна;965.0;138;104;130;56;100;111;73;41;62;95;55
42;Эсмурзиева Лидия Багаудиновна;660.0;75;77;82;104;67;61;41;28;35;41;49
