;name;overall;УИК №2172;УИК №2173;УИК №2174;УИК №2175;УИК №2176;УИК №2177;УИК №2178;УИК №2184;УИК №2185;УИК №2186;УИК №2187
14;Арефьев Михаил Константинович;307.0;26;30;21;38;22;29;33;37;27;32;12
15;Высоцкая Ольга Николаевна;1148.0;100;70;154;113;173;142;90;79;70;102;55
16;Гурылев Борис Вячеславович;1158.0;101;144;83;89;92;95;63;104;163;132;92
17;Данилов Илья Игоревич;152.0;10;12;17;10;11;13;14;20;12;24;9
18;Земляной Даниил Игоревич;231.0;22;22;20;30;20;14;24;35;17;17;10
19;Карнаухова Анна Николаевна;127.0;6;6;13;14;14;8;9;17;17;18;5
20;Клыков Сергей Сергеевич;1128.0;94;144;86;92;94;90;62;79;157;131;99
21;Коростелёв Вячеслав Вячеславович;1203.0;114;82;167;108;204;137;113;74;69;87;48
22;Котовский Александр Валерьевич;232.0;17;15;24;33;25;15;22;18;17;31;15
23;Маклаков Александр Вячеславович;897.0;89;61;112;77;132;104;61;65;53;107;36
24;Малахов Петр Константинович;1068.0;84;133;90;86;95;86;52;80;151;118;93
25;Минаев Александр Васильевич;284.0;25;24;20;31;31;25;26;22;30;29;21
26;Поминова Татьяна Сергеевна;874.0;88;60;112;93;132;89;65;67;55;80;33
27;Прыткова Татьяна Дмитриевна;336.0;24;27;32;33;36;30;32;33;34;37;18
28;Самгин Юрий Александрович;1154.0;103;128;91;96;100;107;61;102;149;127;90
29;Цыганкова Марина Юрьевна;251.0;18;28;18;25;31;21;20;30;22;23;15
30;Чепелева Светлана Николаевна;266.0;26;20;30;23;24;23;18;20;27;38;17
31;Шатило Игорь Юрьевич;297.0;34;37;25;32;26;20;21;34;26;30;12
32;Щербаков Валентин Михайлович;1031.0;106;66;135;99;167;129;84;61;59;86;39
33;Янкаускас Константинас Стасисович;1658.0;151;188;128;131;138;133;105;125;197;230;132
34;Ярославцева Светлана Ивановна;405.0;42;28;32;52;49;28;31;33;37;45;28
