;name;overall;УИК №3053;УИК №3055;УИК №3056;УИК №3057;УИК №3058;УИК №3059;УИК №3060;УИК №3061;УИК №3062;УИК №3063;УИК №3064
14;Булгаков Владимир Георгиевич;446.0;25;48;73;39;43;25;22;51;56;53;11
15;Ведмедь Артур Алексеевич;134.0;11;13;13;19;14;9;3;13;18;15;6
16;Величко Алексей Алексеевич;99.0;7;8;10;11;8;3;6;10;15;15;6
17;Врачёв Андрей Львович;273.0;6;47;49;29;31;8;17;21;15;47;3
18;Герасимов Николай Юрьевич;523.0;41;63;76;52;30;31;30;66;66;59;9
19;Гордеев Валерий Викторович;324.0;29;18;32;28;29;15;7;37;40;35;54
20;Егорчев Александр Васильевич;150.0;12;10;17;24;16;12;8;14;18;13;6
21;Еремина Татьяна Валериевна;293.0;16;36;42;41;26;15;7;38;32;31;9
22;Зайцев Роман Александрович;105.0;8;9;16;14;12;5;4;9;10;15;3
23;Зыков Николай Аполлонович;295.0;12;38;55;24;16;16;18;34;43;33;6
24;Иванов Михаил Владимирович;983.0;59;161;110;86;67;61;55;146;96;128;14
25;Канов Алексей Владимирович;201.0;12;14;11;16;12;7;5;25;24;18;57
26;Князев Павел Юрьевич;312.0;18;28;37;48;35;27;3;27;38;40;11
27;Куранина Вера Васильевна;883.0;74;77;103;101;119;42;60;86;78;120;23
28;Мильцов Александр Никитович;335.0;15;33;49;25;14;26;18;60;49;43;3
29;Осипова Екатерина Вячеславовна;496.0;49;29;55;63;71;36;24;53;54;50;12
30;Паскеева Эсия Исмаиловна;129.0;9;15;19;12;8;6;2;8;11;34;5
31;Питько Роман Игоревич;781.0;58;147;94;71;59;45;38;75;84;97;13
32;Рузавин Сергей Иванович;334.0;20;42;69;41;18;15;12;38;30;37;12
33;Сергеев Иван Григорьевич;515.0;40;60;54;34;45;38;26;93;66;49;10
34;Симомура Светлана Леонидовна;669.0;50;81;66;53;62;46;29;118;76;71;17
35;Синицкий Никита Олегович;580.0;44;69;57;41;43;49;24;106;75;59;13
36;Терняк Евгений Владимирович;899.0;71;157;111;78;62;61;46;87;95;102;29
37;Шатов Алексей Викторович;588.0;47;70;59;38;48;44;28;101;79;61;13
38;Шершакова Татьяна Андреевна;405.0;44;32;61;38;36;20;13;44;52;42;23
