;name;overall;УИК №2765;УИК №2766;УИК №2767;УИК №2768;УИК №2769;УИК №2770;УИК №2771;УИК №2772;УИК №2773;УИК №2774;УИК №2787;УИК №2788;УИК №2790
14;Агбальянц Владимир Эдуардович;111.0;5;0;4;6;3;18;16;11;7;20;3;14;4
15;Андросов Дмитрий Петрович;176.0;10;7;19;18;15;19;12;19;15;5;14;17;6
16;Афанаскин Александр Михайлович;175.0;4;9;17;22;11;23;15;25;5;14;11;11;8
17;Белов Никита Андреевич;878.0;57;31;112;98;53;103;49;86;48;51;63;89;38
18;Войлошников Алексей Геннадьевич;344.0;0;10;14;29;26;27;23;37;25;39;17;46;51
19;Волков Николай Юрьевич;614.0;24;9;31;45;50;61;105;59;53;88;14;57;18
20;Гончаров Даниил Сергеевич;145.0;4;5;7;17;13;17;12;11;9;21;7;11;11
21;Елисеева Наталия Андреевна;218.0;3;6;15;21;24;22;26;27;11;25;10;23;5
22;Зайцева Элина Геннадьевна;694.0;7;29;49;74;71;88;67;73;53;55;36;71;21
23;Заляева Гузель Айдаровна;487.0;4;12;34;64;53;60;47;52;37;36;22;49;17
24;Ивановский Владимир Александрович;159.0;3;6;9;19;13;22;12;15;11;20;9;13;7
25;Исаков Артемий Леонидович;109.0;5;3;4;18;10;11;4;15;6;10;8;13;2
26;Катаева Ольга Георгиевна;161.0;5;3;5;15;13;22;17;11;14;27;5;15;9
27;Квашнина Наталия Олеговна;651.0;8;23;19;66;78;74;54;68;39;53;28;114;27
28;Ковалева Галина Ивановна;865.0;37;30;96;96;63;104;53;87;57;61;59;82;40
29;Муромцев Никита Андреевич;767.0;49;30;105;85;40;83;46;75;36;49;56;73;40
30;Плюхов Сергей Викторович;660.0;14;11;11;38;31;32;119;67;133;129;10;34;31
31;Рогов Михаил Владимирович;188.0;8;4;21;21;12;16;12;23;8;18;18;20;7
32;Сенцова Ирина Андреевна;809.0;15;18;25;47;54;51;124;98;166;108;23;51;29
33;Хохлова Эмилия Владимировна;938.0;18;12;28;46;64;55;207;105;166;130;25;52;30
34;Черняев Александр Петрович;733.0;13;21;53;71;62;85;81;83;54;62;46;79;23
35;Шарипова Маргарита Ильгизовна;821.0;57;32;103;90;54;85;42;86;49;41;64;79;39
36;Эбзеев Борис Юрьевич;99.0;1;3;15;15;10;12;8;10;2;5;5;7;6
37;Яковлев Андрей Анатольевич;225.0;2;5;14;17;24;32;23;25;14;19;16;26;8
