;name;overall;УИК №3283;УИК №3284;УИК №3285;УИК №3286;УИК №3287;УИК №3288;УИК №3289;УИК №3290
14;Алмакаева Елена Валерьевна;205.0;15;40;26;31;15;34;17;27
15;Голованова Маргарита Юрьевна;739.0;90;117;105;84;62;113;84;84
16;Головачев Владимир Николаевич;241.0;21;55;30;34;19;31;16;35
17;Горбачева Ирина Михайловна;721.0;105;106;106;89;66;100;72;77
18;Дружинина Конкордия Александровна;183.0;10;24;19;19;15;45;12;39
19;Емко Анна Сергеевна;316.0;47;39;33;39;26;74;21;37
20;Запольская Ольга Владимировна;222.0;19;46;30;34;18;28;21;26
21;Ильин Максим Максимович;173.0;19;16;15;9;20;45;15;34
22;Кулак Светлана Анатольевна;627.0;68;96;97;80;59;84;65;78
23;Кулин Николай Александрович;636.0;79;101;91;75;55;84;72;79
24;Мельшиян Андрей Владимирович;71.0;4;7;8;10;8;9;10;15
25;Нестерова Марина Борисовна;128.0;14;14;17;14;21;15;13;20
26;Нестерович Полина Александровна;163.0;12;29;20;27;13;23;14;25
27;Прокофьева Юлия Владимировна;166.0;14;24;25;20;14;23;12;34
28;Разумова Александра Ильинична;159.0;20;34;21;19;11;16;12;26
29;Слесарев Андрей Сергеевич;709.0;92;106;107;77;70;104;66;87
30;Тимощенков Александр Михайлович;93.0;4;9;13;9;13;22;6;17
31;Токарева Анна Сергеевна;170.0;16;19;12;11;15;54;14;29
32;Усачев Илья Константинович;97.0;9;9;18;6;14;23;6;12
33;Устинов Даниил Игоревич;277.0;30;22;32;34;27;76;25;31
34;Хафизов Радик Рамильевич;271.0;21;26;19;14;26;111;15;39
35;Яковлев Владимир Егорович;115.0;10;14;19;11;15;21;9;16
