;name;overall;УИК №2364;УИК №2365;УИК №2366;УИК №2367;УИК №2368;УИК №2369;УИК №2370;УИК №2371;УИК №2372;УИК №2373;УИК №2374;УИК №2378;УИК №2381
14;Агошков Андрей Валерьевич;581.0;24;35;40;54;31;55;39;54;39;64;41;60;45
15;Асташкин Александр Дмитриевич;577.0;27;36;46;52;36;62;36;62;46;53;38;48;35
16;Бакина Ольга Владимировна;343.0;19;18;24;21;21;24;35;31;20;39;24;41;26
17;Борисова Надежда Георгиевна;609.0;30;46;37;36;39;45;47;61;56;49;56;63;44
18;Бородаев Дмитрий Владиславович;1031.0;47;69;75;66;61;83;74;119;69;126;100;86;56
19;Ваваева Елена Евгеньевна;508.0;22;21;38;49;31;26;25;45;58;48;48;52;45
20;Воробьев Алексей Владимирович;1031.0;39;79;82;64;52;73;71;105;77;123;98;93;75
21;Голиков Виктор Григорьевич;317.0;18;17;22;16;17;20;24;26;26;44;36;36;15
22;Гулян Карине Варужановна;290.0;12;17;14;13;32;18;11;22;14;21;15;57;44
23;Демидов Антон Николаевич;477.0;23;38;45;33;26;36;59;40;40;29;45;37;26
24;Джилавян Самвел Мушегович;342.0;9;17;27;33;17;48;18;26;29;29;29;35;25
25;Завада Никита Юрьевич;113.0;11;4;11;5;5;5;3;12;9;16;11;17;4
26;Лобановский Александр Леонидович;1039.0;53;82;73;84;53;80;72;117;69;102;101;89;64
27;Маслаков Александр Егорович;179.0;17;8;15;14;9;8;10;16;23;14;13;20;12
28;Мишуровский Андрей Васильевич;113.0;7;6;9;8;11;10;7;8;6;11;7;19;4
29;Недумова Елена Георгиевна;1105.0;40;80;74;75;58;93;89;123;100;125;105;84;59
30;Попов Николай Фёдорович;403.0;17;26;20;41;22;37;25;32;30;39;36;48;30
31;Прушинский Сергей Анатольевич;1348.0;56;48;78;87;128;97;37;105;147;125;89;236;115
32;Самойлова Екатерина Аскольдовна;481.0;19;23;36;33;36;38;27;50;41;39;59;43;37
33;Ситеева Светлана Валерьевна;482.0;24;28;33;29;46;36;24;54;32;36;27;60;53
34;Федоров Дмитрий Андреевич;237.0;14;18;25;13;16;21;10;23;14;29;10;34;10
35;Фирсов Александр Георгиевич;1056.0;38;81;77;68;53;85;96;126;71;109;95;87;70
36;Шабалкин Валерий Евгеньевич;228.0;6;9;19;14;12;12;14;25;19;28;15;40;15
37;Щеголев Александр Иванович;354.0;15;22;38;21;22;29;24;34;26;31;16;42;34
