;name;overall;УИК №2928;УИК №2929;УИК №2934;УИК №2935;УИК №2936;УИК №2938;УИК №2939;УИК №2940;УИК №2941;УИК №2942;УИК №2943;УИК №2944
14;Арсютин Сергей Николаевич;546.0;128;73;32;40;34;45;24;48;20;38;21;43
15;Борчев Ярослав Николаевич;353.0;36;26;18;41;25;31;29;32;18;34;32;31
16;Глазырин Максим Юрьевич;239.0;15;13;18;25;23;24;22;26;15;22;20;16
17;Дроботов Иван Викторович;247.0;20;32;12;22;27;12;29;21;16;23;13;20
18;Живилин Вячеслав Владимирович;2014.0;88;59;101;196;220;168;229;167;184;190;162;250
19;Зудина Галина Владимировна;1440.0;70;47;68;161;142;125;148;150;115;145;103;166
20;Ионов Евгений Михайлович;756.0;70;58;49;56;72;81;33;53;82;61;74;67
21;Кривицкая Светлана Михайловна;749.0;74;65;52;55;70;96;37;66;62;59;54;59
22;Лапшина Галина Федоровна;157.0;11;15;5;14;17;11;14;14;13;13;13;17
23;Митин Артем Александрович;773.0;51;71;83;94;82;84;44;48;36;61;66;53
24;Митяев Александр Константинович;149.0;7;8;6;16;15;13;12;15;12;17;16;12
25;Панова Эльмира Мамед Кызы;208.0;19;13;20;20;18;20;15;16;9;26;14;18
26;Полякова Ольга Геннадьевна;160.0;8;10;9;23;17;8;14;13;7;19;15;17
27;Решетилова Нина Александровна;693.0;70;70;59;61;60;83;26;71;57;44;45;47
28;Сапунов Николай Викторович;295.0;33;18;13;45;33;32;11;31;24;30;8;17
29;Сураев Иван Юрьевич;347.0;35;17;17;41;32;43;18;23;27;40;24;30
30;Чистякова Наталья Михайловна;1533.0;72;36;76;155;162;138;176;153;138;141;105;181
