;name;overall;УИК №10;УИК №11;УИК №12;УИК №13;УИК №14;УИК №15;УИК №16;УИК №17;УИК №18;УИК №21
14;Алексеев Олег Борисович;144.0;2;12;20;36;11;8;18;5;15;17
15;Арутюнов Александр Артурович;171.0;12;14;22;23;24;8;24;11;14;19
16;Барабанов Андрей Вячеславович;175.0;9;22;16;17;20;13;21;14;28;15
17;Бельба Валерий Николаевич;721.0;50;55;102;82;96;55;71;32;81;97
18;Брозалевский Вадим Леонидович;69.0;5;4;11;12;5;3;9;4;8;8
19;Воробьева Наталья Викторовна;358.0;28;35;40;56;36;23;37;18;38;47
20;Гоциридзе Илья Гурамович;514.0;41;86;63;53;53;39;49;26;65;39
21;Добышева Мария Владимировна;181.0;23;9;23;27;15;11;20;7;22;24
22;Дульцев Антон Вадимович;142.0;6;25;19;10;16;5;17;10;21;13
23;Ежов Олег Игоревич;391.0;35;37;132;45;42;29;21;13;23;14
24;Ермаков Кирилл Андреевич;548.0;25;30;46;74;95;43;57;12;68;98
25;Калинчев Сергей Эрикович;553.0;37;69;60;68;61;49;48;45;73;43
26;Кашинский Даниил Александрович;80.0;3;5;12;17;10;4;7;3;10;9
27;Котов Виктор Николаевич;1246.0;70;143;116;118;191;93;149;94;164;108
28;Ломакин Сергей Викторович;329.0;51;36;36;36;35;21;31;15;36;32
29;Лутовинов Иван Алексеевич;170.0;9;14;17;24;18;8;22;17;13;28
30;Майорова Елена Валентиновна;801.0;50;80;110;90;109;60;79;34;98;91
31;Морозов Илья Валерьевич;1097.0;66;133;105;92;162;74;136;78;154;97
32;Нилов Иван Владиславович;244.0;14;17;18;37;28;13;35;17;31;34
33;Осипов Петр Петрович;168.0;5;5;13;11;8;5;70;10;28;13
34;Пономаренко Виктор Витальевич;102.0;13;3;8;19;10;8;9;7;9;16
35;Рубцов Владислав Сергеевич;485.0;23;55;54;68;63;48;51;19;61;43
36;Смакотин Александр Сергеевич;506.0;40;30;50;63;65;32;48;22;62;94
37;Снежницкий Игорь Юрьевич;288.0;18;26;36;40;31;18;35;20;35;29
38;Шагалович Дмитрий Львович;81.0;9;5;7;10;8;3;12;4;13;10
39;Штейн Людмила Петровна;1193.0;77;137;116;112;171;86;144;85;165;100
40;Шунин Андрей Борисович;137.0;6;14;13;23;17;8;11;15;14;16
