;name;overall;УИК №1536;УИК №1537;УИК №1538;УИК №1539;УИК №1543;УИК №1547;УИК №1548
14;Андрусив Александр Николаевич;242.0;20;5;46;39;35;50;47
15;Бондарева Елена Николаевна;868.0;137;21;152;202;154;100;102
16;Годяева Вера Викторовна;183.0;10;3;30;29;42;37;32
17;Гулиашвили Наргиза Автандиловна;712.0;129;22;126;158;113;76;88
18;Иванов Геннадий Николаевич;937.0;135;23;155;190;161;140;133
19;Кипа Наталья Владимировна;238.0;21;13;43;37;61;34;29
20;Кириллова Елена Ивановна;510.0;35;33;126;100;76;71;69
21;Козлов Александр Евгеньевич;438.0;27;25;77;86;94;71;58
22;Московская Елена Владимировна;419.0;34;21;81;67;83;65;68
23;Никитская Светлана Семеновна;182.0;19;9;37;43;23;26;25
24;Никишина Ольга Николаевна;614.0;36;38;154;118;120;77;71
25;Рябова Татьяна Петровна;812.0;120;27;128;171;155;107;104
26;Ситников Андрей Владимирович;807.0;116;24;154;185;134;93;101
27;Сушинский Сергей Александрович;335.0;16;21;63;57;88;51;39
28;Ященко Ольга Михайловна;356.0;24;15;74;63;67;56;57
