;name;overall;УИК №1411;УИК №1412;УИК №1413;УИК №1414;УИК №1415;УИК №1419;УИК №1420;УИК №1436;УИК №1437;УИК №1438;УИК №1439;УИК №1448;УИК №1449;УИК №1450
14;Антипин Константин Сергеевич;646.0;22;39;52;52;17;43;50;30;43;45;55;38;75;85
15;Ачкасов Александр Викторович;1310.0;55;107;80;88;111;96;107;85;84;82;94;115;104;102
16;Бардин Сергей Сергеевич;536.0;19;32;37;37;15;45;70;28;31;42;36;39;47;58
17;Бронзес Татьяна Евгеньевна;1502.0;46;104;95;94;100;95;116;99;102;84;105;138;159;165
18;Голоцуков Александр Анатольевич;229.0;11;11;12;19;8;13;14;8;21;15;14;19;29;35
19;Городничева Елена Вячеславовна;403.0;13;31;35;39;21;67;28;14;27;18;17;24;33;36
20;Губанова Аксана Юрьевна;301.0;17;26;18;20;10;25;25;7;20;28;21;18;27;39
21;Гуличева Елена Петровна;577.0;29;38;56;35;26;48;61;15;51;47;40;42;43;46
22;Дивенко Вадим Эдуардович;192.0;14;16;15;17;12;17;22;4;9;11;11;16;10;18
23;Дородных Екатерина Александровна;304.0;16;23;26;22;13;26;20;11;28;23;19;22;17;38
24;Егорова Нина Александровна;307.0;24;26;20;33;13;30;26;5;14;17;22;28;26;23
25;Заболотнов Сергей Андреевич;318.0;18;21;21;24;16;21;24;10;22;24;21;24;32;40
26;Заруднев Андрей Викторович;624.0;37;35;36;60;26;56;39;23;26;47;41;45;58;95
27;Зюзин Николай Николаевич;1343.0;47;110;87;84;115;83;156;85;92;75;88;128;88;105
28;Ищук Сергей Владиславович;471.0;19;31;30;31;16;26;33;20;30;28;34;35;69;69
29;Максимов Виталий Анатольевич;227.0;8;13;21;40;16;17;13;8;10;13;15;13;20;20
30;Мандриков Игорь Викторович;158.0;9;13;11;18;8;9;11;1;10;6;16;20;10;16
31;Морозова Елена Николаевна;1323.0;58;103;92;85;112;97;111;91;95;67;93;118;104;97
32;Новиков Александр Юрьевич;247.0;7;17;30;37;10;47;14;9;8;12;13;15;10;18
33;Рогов Роман Геннадьевич;387.0;23;34;33;33;24;23;28;13;28;32;24;31;24;37
34;Рыбина Татьяна Николаевна;260.0;9;20;24;25;13;17;25;5;18;21;22;19;17;25
35;Соколов Алексей Александрович;610.0;22;36;42;54;24;66;41;27;33;43;44;44;62;72
36;Тимченко Елена Александровна;212.0;9;20;18;20;11;23;18;3;12;12;14;16;16;20
37;Федотов Дмитрий Андреевич;205.0;11;14;13;16;6;18;22;9;13;11;17;12;19;24
38;Хачуева Ева Шабоевна;87.0;4;12;5;14;4;8;5;1;7;5;4;3;5;10
39;Цветкова Татьяна Лукьяновна;1576.0;59;130;112;106;127;107;122;106;107;95;133;141;113;118
40;Швейстова Любовь Григорьевна;123.0;10;10;16;10;4;6;13;8;5;6;9;6;7;13
