;name;overall;УИК №393;УИК №394;УИК №395;УИК №396;УИК №397
14;Анохина Ольга Ярославовна;189.0;41;39;32;41;36
15;Аношкина Елена Борисовна;117.0;20;18;23;36;20
16;Вихорева Любовь Юрьевна;491.0;149;77;82;81;102
17;Глушко Ирина Валентиновна;146.0;36;24;29;29;28
18;Горбылёв Александр Михайлович;79.0;11;12;31;18;7
19;Дудин Михаил Сергеевич;128.0;39;18;31;26;14
20;Жданов Дмитрий Валентинович;485.0;143;75;81;81;105
21;Зеленин Алексей Владимирович;64.0;11;12;14;18;9
22;Коновалов Юрий Федорович;601.0;212;108;93;110;78
23;Лапин Эдуард Владимирович;243.0;51;44;28;53;67
24;Луговая Тамара Александровна;110.0;21;10;26;29;24
25;Лядский Владимир Васильевич;592.0;185;104;98;115;90
26;Маслова Марина Сергеевна;675.0;202;119;124;146;84
27;Оборин Александр Андреевич;91.0;21;11;29;18;12
28;Павленко Анастасия Александровна;449.0;113;60;76;85;115
29;Ратманова Марина Вячеславовна;67.0;10;20;10;18;9
30;Скрипникова Наталья Викторовна;159.0;42;31;25;33;28
31;Супрун Татьяна Романовна;140.0;36;16;18;47;23
32;Усольцев Александр Сергеевич;81.0;14;12;21;19;15
33;Филиппова Надежда Юрьевна;116.0;24;14;22;33;23
34;Царев Максим Сергеевич;87.0;12;18;16;25;16
35;Цуриков Илья Александрович;388.0;115;67;67;62;77
36;Черных Татьяна Анатольевна;594.0;185;99;93;120;97
37;Щербаков Анатолий Иванович;91.0;22;14;20;19;16
38;Ядыкина Светлана Николаевна;56.0;16;12;9;8;11
