;name;overall;УИК №54;УИК №55;УИК №56;УИК №57;УИК №58
14;Базеева Алевтина Николаевна;817.0;197;187;152;156;125
15;Бирюков Михаил Юрьевич;826.0;175;184;176;172;119
16;Бубенцова Ирина Викторовна;149.0;39;32;30;35;13
17;Гапонов Андрей Николаевич;184.0;29;45;35;39;36
18;Долгов Алексей Валерьевич;283.0;56;55;57;79;36
19;Каляев Мерген Владимирович;87.0;16;14;22;22;13
20;Караева Светлана Халидовна;801.0;193;189;150;149;120
21;Крутов Александр Александрович;112.0;27;23;29;22;11
22;Крылов Владимир Дмитриевич;511.0;112;83;89;114;113
23;Лобанов Денис Александрович;136.0;29;22;41;25;19
24;Лошков Дмитрий Борисович;332.0;68;47;63;82;72
25;Мищенко Илья Александрович;650.0;151;149;129;143;78
26;Мулюков Руслан Ханифович;105.0;18;28;16;20;23
27;Наумчева Алла Павловна;633.0;133;137;120;162;81
28;Низовцев Вячеслав Иванович;479.0;103;68;93;131;84
29;Павленко Роман Владимирович;170.0;33;27;35;35;40
30;Рощина Мария Афанасьевна;636.0;144;147;129;117;99
31;Торбиевский Петр Григорьевич;144.0;26;28;24;26;40
32;Тяпкова Ирина Владимировна;550.0;135;119;110;121;65
33;Хайретдинов Олег Анатольевич;600.0;155;122;113;127;83
34;Цветкова Ольга Алексеевна;622.0;133;157;124;114;94
35;Чекин Алексей Владимирович;398.0;85;51;67;100;95
36;Шолохова Ольга Константиновна;690.0;151;159;139;131;110
