;name;overall;УИК №2863;УИК №2864;УИК №2866;УИК №2867;УИК №2868;УИК №2869;УИК №2870;УИК №2871;УИК №2872;УИК №2873;УИК №2874;УИК №2875
14;Амосов Анатолий Александрович;235.0;20;22;22;23;16;10;2;19;18;22;30;31
15;Бедрин Кирилл Валерьевич;304.0;22;28;23;21;25;14;1;27;28;30;44;41
16;Богданов Сергей Вячеславович;759.0;48;107;56;69;49;27;4;71;79;73;75;101
17;Бодриков Александр Евгеньевич;924.0;71;82;113;73;73;61;3;98;53;69;95;133
18;Быкадарова Вероника Ильинична;708.0;54;56;74;63;50;20;3;90;42;84;86;86
19;Зыкова Татьяна Георгиевна;464.0;38;68;60;40;41;11;2;32;30;38;51;53
20;Киселев Михаил Александрович;208.0;23;24;17;21;8;7;0;19;10;26;20;33
21;Клестова Наталия Владимировна;657.0;42;62;42;55;47;20;4;78;66;71;67;103
22;Князев Николай Александрович;874.0;79;95;109;81;83;39;3;94;41;66;82;102
23;Кучербаева Лилия Мунировна;718.0;48;68;60;39;53;64;4;45;52;63;105;117
24;Медведев Виталий Викторович;119.0;9;15;14;13;8;3;0;17;6;14;10;10
25;Монахов Владимир Александрович;126.0;15;13;24;10;10;3;0;5;16;13;9;8
26;Муравьев Андрей Александрович;576.0;43;66;32;45;40;19;4;63;67;50;59;88
27;Назаров Григорий Севанович;173.0;11;16;19;20;15;6;0;15;11;15;28;17
28;Петрова Ольга Владимировна;520.0;48;108;49;40;37;24;3;32;40;46;47;46
29;Прокуронов Денис Дмитриевич;782.0;69;84;102;77;62;58;2;88;31;57;71;81
30;Прохоров Дмитрий Юрьевич;993.0;68;163;67;79;74;32;3;95;94;81;113;124
31;Рогов Михаил Витальевич;567.0;29;43;57;50;47;13;0;39;41;57;85;106
32;Серёдкина Анна Борисовна;153.0;17;10;11;15;18;10;1;14;14;12;15;16
33;Сидоренко Даниил Викторович;129.0;8;19;10;10;14;3;0;10;11;13;11;20
34;Сизов Михаил Михайлович;204.0;19;25;22;21;22;7;1;13;14;21;15;24
35;Сорокин Денис Александрович;457.0;49;40;39;43;39;43;1;25;27;39;64;48
36;Титов Леонид Юрьевич;233.0;15;15;23;24;24;8;0;21;17;20;36;30
37;Царёв Лев Игоревич;668.0;56;68;88;60;56;34;3;90;26;46;61;80
38;Цховребов Алан Иванович;207.0;19;23;12;18;16;12;1;18;20;20;26;22
39;Чекунаева Юлия Александровна;704.0;58;80;78;43;67;81;2;51;40;49;64;91
40;Шелест Михаил Михайлович;335.0;25;40;27;19;23;15;1;21;31;25;57;51
41;Яковлев Сергей Владимирович;682.0;51;92;55;61;53;22;4;70;61;62;63;88
