;name;overall;УИК №2188;УИК №2189;УИК №2190;УИК №2191;УИК №2192;УИК №2193;УИК №2199;УИК №2200;УИК №2201;УИК №2202;УИК №2203
14;Азарова Надежда Леонидовна;276.0;19;24;38;27;26;36;13;26;23;22;22
15;Аляева Ольга Михайловна;255.0;23;30;34;27;34;21;6;20;20;12;28
16;Ананьева Светлана Валентиновна;330.0;34;44;46;40;26;24;17;26;23;21;29
17;Арехина Татьяна Анатольевна;1172.0;171;160;119;127;80;137;67;101;79;75;56
18;Архипова Наталья Николаевна;900.0;87;112;96;62;127;88;29;74;59;67;99
19;Бурова Ольга Анатольевна;187.0;27;10;22;12;29;18;6;18;18;13;14
20;Деревянко Ирина Геннадьевна;1102.0;165;176;100;125;79;127;62;92;65;67;44
21;Догадина Светлана Вагифовна;161.0;19;15;22;24;17;12;9;11;8;13;11
22;Жандаров Николай Николаевич;226.0;24;31;31;24;15;17;7;18;19;27;13
23;Жимаева Екатерина Михайловна;127.0;18;10;8;19;11;7;6;10;12;16;10
24;Калабин Станислав Юрьевич;126.0;9;19;10;12;15;10;4;8;7;3;29
25;Каменова Римма Харисовна;1268.0;168;221;126;143;100;135;66;101;72;77;59
26;Колков Сергей Владимирович;98.0;6;7;16;11;7;11;4;10;7;8;11
27;Котова Галина Юрьевна;1200.0;168;173;108;133;97;134;72;113;77;79;46
28;Курбанов Дмитрий Михайлович;487.0;40;70;50;41;80;53;14;43;19;29;48
29;Ларина Нина Алексеевна;957.0;162;21;91;110;87;126;64;107;69;76;44
30;Лосев Максим Олегович;178.0;17;21;23;13;13;14;6;17;9;28;17
31;Мартынов Юрий Григорьевич;250.0;18;33;25;33;16;23;17;22;23;17;23
32;Минцковская Анастасия Владимировна;197.0;10;27;30;21;28;19;8;18;12;13;11
33;Мороз Юрий Николаевич;877.0;80;102;84;55;126;98;28;74;53;78;99
34;Наумов Тимур Маарифович;164.0;13;13;19;14;15;21;6;17;10;13;23
35;Перевалов Максим Игоревич;88.0;6;11;8;9;8;7;6;9;5;13;6
36;Подласова Ирина Геннадьевна;131.0;16;13;18;8;13;10;7;10;11;9;16
37;Пугачев Василий Владимирович;820.0;59;121;94;105;93;63;30;55;64;72;64
38;Сюкалов Михаил Алексеевич;127.0;10;14;17;15;8;12;11;8;11;13;8
39;Шафранов Илья Георгиевич;775.0;65;102;61;54;98;80;20;61;52;81;101
40;Яцык Светлана Александровна;887.0;71;123;77;63;121;96;30;78;62;75;91
