;name;overall;УИК №515;УИК №516;УИК №517;УИК №518;УИК №521;УИК №524;УИК №525;УИК №526;УИК №527;УИК №528;УИК №533;УИК №536;УИК №537
14;Байкиев Тимур Ильмирович;132.0;14;6;11;12;13;9;14;8;4;7;11;11;12
15;Биканаев Мурат Ринатович;99.0;10;5;10;8;8;9;8;5;4;8;3;7;14
16;Бирюков Павел Сергеевич;423.0;37;36;40;29;28;27;39;33;27;29;41;22;35
17;Булгакова Елена Валерьевна;622.0;72;47;58;54;46;48;58;39;41;28;48;28;55
18;Бутрина Елена Владимировна;1374.0;121;137;115;151;100;110;113;108;89;54;76;87;113
19;Власова Кристина Владимировна;323.0;22;34;24;23;20;22;29;20;14;21;41;16;37
20;Катанский Алексей Алексеевич;1254.0;131;145;106;133;74;83;99;102;77;53;77;80;94
21;Кузнецов Александр Александрович;208.0;18;13;10;22;28;13;13;14;14;9;24;6;24
22;Кузнецов Владимир Николаевич;421.0;35;39;34;35;31;24;37;33;29;23;40;25;36
23;Лисовенко Алексей Анатольевич;1141.0;103;120;92;119;75;92;101;98;64;38;68;72;99
24;Морозов Николай Николаевич;463.0;41;33;40;53;30;26;42;30;26;20;48;20;54
25;Мячинский Павел Александрович;253.0;17;27;23;18;17;17;27;23;14;17;28;10;15
26;Николаева Людмила Викторовна;892.0;80;66;63;83;70;51;85;60;43;67;101;35;88
27;Орлов Владимир Борисович;417.0;30;31;27;27;26;38;40;47;28;22;45;22;34
28;Пеликанов Павел Андреевич;123.0;9;12;13;4;9;9;9;11;6;9;13;8;11
29;Пимкина Маргарита Николаевна;299.0;27;34;15;24;21;25;23;24;13;17;36;12;28
30;Рыбина Карине Кареновна;120.0;14;10;7;9;10;6;9;13;5;9;11;7;10
31;Троханов Владимир Александрович;301.0;24;23;19;25;16;21;28;31;23;17;33;14;27
32;Трусов Фёдор Николаевич;947.0;96;98;81;98;62;66;77;80;65;39;52;59;74
33;Уханева Светлана Николаевна;1138.0;105;126;93;101;78;74;95;103;70;43;77;70;103
34;Фомичев Павел Николаевич;717.0;68;58;48;61;58;43;59;36;28;62;100;33;63
35;Чупраков Руслан Азамович;91.0;9;9;8;6;7;4;7;9;3;9;5;6;9
36;Ярмоленко Ольга Васильевна;364.0;35;20;31;31;28;24;32;30;20;22;35;20;36
