;name;overall;УИК №454;УИК №455;УИК №456;УИК №457;УИК №458;УИК №459;УИК №460
14;Арзуманов Артур Рубенович;134.0;18;19;19;15;35;10;18
15;Ахундов Фарид Айдынович;137.0;24;27;24;21;13;14;14
16;Боканов Александр Авангардович;178.0;38;26;27;24;14;28;21
17;Бояринова Наталья Степановна;196.0;21;25;18;22;14;78;18
18;Виноградова Валентина Михайловна;268.0;26;45;27;59;26;34;51
19;Глазунова Мария Борисовна;339.0;30;56;63;47;39;58;46
20;Голубев Валентин Александрович;296.0;26;32;53;53;29;69;34
21;Демихова Татьяна Викторовна;541.0;82;68;75;80;98;74;64
22;Джагаев Иосиф Русланович;53.0;6;8;10;5;11;4;9
23;Качала Игорь Юрьевич;538.0;74;71;77;73;106;79;58
24;Климов Леонид Николаевич;112.0;21;10;21;11;17;13;19
25;Кожевников Алексей Михайлович;154.0;60;19;24;5;17;16;13
26;Крепкова Юлия Александровна;416.0;62;82;62;58;48;61;43
27;Кумыш Марина Евгеньевна;96.0;16;15;9;16;8;12;20
28;Курчаткина Ирина Евгеньевна;870.0;114;145;118;119;150;114;110
29;Лысенко Алексей Александрович;513.0;97;90;67;62;61;66;70
30;Моисеенкова Татьяна Михайловна;269.0;45;57;38;22;33;26;48
31;Ремизова Наталья Валентиновна;617.0;126;107;82;77;66;82;77
32;Рудник Максим Александрович;174.0;37;29;21;29;20;20;18
33;Савинов Алексей Александрович;463.0;66;68;74;65;81;52;57
34;Савинов Сергей Юрьевич;140.0;15;25;19;17;19;22;23
35;Сироткина Евгения Николаевна;470.0;79;77;67;57;59;72;59
36;Таран Александр Александрович;117.0;17;27;17;13;18;10;15
37;Феркалюк Юрий Иванович;320.0;24;37;66;59;26;66;42
38;Цивилев Константин Григорьевич;188.0;38;27;23;27;27;21;25
39;Черненков Николай Сергеевич;69.0;16;13;8;3;10;11;8
40;Чибизов Александр Викторович;545.0;49;66;96;92;66;120;56
41;Шиконин Владимир Викторович;490.0;79;85;71;62;61;65;67
