;name;overall;УИК №2416;УИК №2417;УИК №2418;УИК №2419;УИК №2420;УИК №2421;УИК №2422;УИК №2423;УИК №2438;УИК №2444;УИК №2445;УИК №2447;УИК №2448;УИК №2449;УИК №2450;УИК №2451;УИК №2452;УИК №2453;УИК №2454
14;Балашов Сергей Михайлович;710.0;37;32;34;30;30;37;27;29;54;50;36;43;42;33;50;34;37;41;34
15;Беляева Ирина Викторовна;652.0;20;23;25;43;30;20;30;27;32;26;65;38;33;38;41;41;78;23;19
16;Броневой Леонид Алексеевич;303.0;19;15;14;18;9;14;20;7;17;11;20;23;13;11;10;16;39;17;10
17;Доброконный Владимир Анатольевич;310.0;12;11;8;15;7;16;11;9;9;11;20;24;14;15;10;12;54;30;22
18;Изюмцев Олег Леонидович;1455.0;144;87;100;95;93;64;90;71;67;59;86;71;68;73;48;80;39;54;66
19;Лесаев Антон Дмитриевич;147.0;9;8;0;8;4;8;7;3;11;7;11;14;6;10;5;5;5;15;11
20;Майоров Александр Викторович;696.0;30;25;19;25;15;30;40;19;50;52;73;59;32;34;50;40;13;48;42
21;Макаров Александр Сергеевич;1630.0;131;95;109;117;89;83;81;70;82;77;93;77;84;81;61;86;81;66;67
22;Матиевич Александр Аркадьевич;847.0;61;43;51;64;23;41;49;35;46;40;52;85;35;38;48;40;20;39;37
23;Рашов Владимир Михайлович;236.0;20;16;10;8;10;9;17;9;10;14;19;15;12;6;10;16;15;9;11
24;Сизов Григорий Григорьевич;507.0;34;23;32;26;14;22;16;20;23;20;33;30;27;26;38;27;51;18;27
25;Соколов Андрей Игоревич;738.0;31;20;21;24;14;28;32;14;41;43;60;67;38;38;55;33;95;43;41
26;Тяжельников Андрей Александрович;1654.0;126;106;104;98;96;81;90;74;74;72;89;101;85;99;75;86;46;70;82
27;Фролова Наталья Валерьевна;1626.0;135;98;110;98;99;85;95;72;82;79;97;91;75;94;63;85;17;74;77
28;Шерстюк Андрей Владимирович;276.0;11;10;6;5;8;11;15;2;9;13;16;14;19;6;19;7;84;11;10
29;Юмукян Александр Викторович;364.0;21;14;16;12;16;16;16;22;19;28;13;22;18;21;14;12;36;24;24
30;Юрченко Андрей Николаевич;613.0;23;18;18;25;12;32;21;13;47;48;61;56;33;33;55;34;2;41;41
