;name;overall;УИК №340;УИК №341;УИК №342;УИК №343;УИК №344;УИК №345;УИК №346;УИК №347;УИК №348;УИК №349;УИК №350
14;Алёшин Пётр Николаевич;572.0;65;88;52;59;52;53;64;37;36;30;36
15;Вербенкин Антон Юрьевич;292.0;27;24;37;34;37;22;29;18;13;33;18
16;Веслополов Геннадий Юрьевич;405.0;40;42;35;40;55;63;27;35;21;20;27
17;Гатауллин Римат Ралифович;349.0;32;53;25;40;29;29;51;24;25;18;23
18;Горбенко Дмитрий Викторович;405.0;44;70;28;52;43;31;49;26;17;20;25
19;Григорьев Кирилл Валерьевич;559.0;61;111;52;83;56;48;49;27;20;20;32
20;Григорьев Сергей Николаевич;339.0;40;34;23;39;40;30;30;29;23;26;25
21;Григорян Вардан Каренович;127.0;13;7;18;12;17;14;11;8;10;12;5
22;Захарецкая Наталия Анатольевна;380.0;36;35;39;50;49;39;36;34;24;20;18
23;Злобина Анастасия Александровна;145.0;11;14;12;18;19;23;11;12;9;11;5
24;Карамнов Иван Анатольевич;478.0;48;79;48;74;39;51;52;22;22;20;23
25;Кристаллинская Элеонора Ивановна;275.0;38;27;23;39;45;24;23;21;22;7;6
26;Кудряшова Ольга Святославовна;1528.0;202;143;127;174;221;163;128;117;71;74;108
27;Ларичкина Ирина Николаевна;1297.0;174;120;119;152;184;158;102;100;52;55;81
28;Мосякина Светлана Николаевна;1374.0;190;116;107;129;201;151;120;114;73;69;104
29;Николаева Татьяна Николаевна;1296.0;157;105;93;130;151;121;137;130;79;90;103
30;Прохорова Татьяна Анатольевна;1290.0;173;116;109;136;171;147;121;110;65;63;79
31;Федоров Алексей Сергеевич;469.0;54;48;48;51;56;50;30;39;30;36;27
