;name;overall;УИК №1003;УИК №1004;УИК №1005;УИК №1006;УИК №1007;УИК №1008;УИК №1009;УИК №1010;УИК №1011;УИК №1012;УИК №1013;УИК №1014;УИК №1015
14;Аксенова Мария Владимировна;716.0;40;50;53;61;87;58;71;50;52;62;8;68;56
15;Борисов Гордей Васильевич;416.0;21;31;35;31;21;35;46;35;34;42;4;49;32
16;Вильховая Ольга Павловна;413.0;21;36;43;22;34;27;46;41;27;41;4;42;29
17;Галстян Карен Шмавонович;166.0;8;16;16;16;13;14;8;19;15;14;3;14;10
18;Громов Иван Игоревич;1664.0;99;121;101;177;193;132;93;122;106;116;30;85;289
19;Данилов Дмитрий Евгеньевич;224.0;15;13;20;22;21;15;18;16;17;27;3;16;21
20;Жалнин Георгий Анатольевич;254.0;16;17;24;19;10;28;25;19;25;26;1;21;23
21;Зимин Владислав Викторович;1339.0;75;94;77;142;187;92;70;86;79;80;25;58;274
22;Кокова Ирина Викторовна;1398.0;84;114;84;147;181;98;63;96;82;92;25;63;269
23;Кононов Алексей Алексеевич;292.0;19;23;28;19;27;28;20;15;36;33;3;21;20
24;Кочеткова Людмила Алексеевна;525.0;26;45;60;38;25;44;54;52;37;45;10;50;39
25;Ларкин Виктор Сергеевич;1485.0;115;123;102;144;192;102;72;105;82;87;26;61;274
26;Овчинников Сергей Евгеньевич;1385.0;91;108;78;157;179;108;67;82;81;79;24;58;273
27;Проскуркин Петр Сергеевич;153.0;5;13;18;15;9;13;12;14;16;16;1;13;8
28;Трифонова Анна Георгиевна;234.0;20;21;21;12;17;31;24;28;12;22;1;14;11
29;Фонарев Михаил Алексеевич;244.0;15;21;20;22;22;28;19;24;14;25;1;17;16
30;Чернышев Даниил Александрович;177.0;7;18;19;5;23;14;16;9;16;19;2;16;13
