;name;overall;УИК №688;УИК №689;УИК №690;УИК №691;УИК №692;УИК №693;УИК №694;УИК №698;УИК №699;УИК №738
14;Аллахвердиева Юлия Николаевна;91.0;1;6;13;8;9;10;17;11;15;1
15;Арчаков Юсуп Магамедович;31.0;1;1;3;2;6;4;5;2;5;2
16;Бабушкин Андрей Владимирович;1028.0;32;33;122;97;88;202;187;107;146;14
17;Бирюков Сергей Викторович;208.0;6;9;19;16;23;33;31;26;44;1
18;Ботова Надежда Николаевна;669.0;27;24;47;61;45;155;114;105;87;4
19;Брои Мураз Теймуразович;76.0;7;6;12;4;8;2;11;11;14;1
20;Гринёва Кристина Сергеевна;181.0;8;12;18;12;6;24;33;19;46;3
21;Егоров Юрий Игоревич;324.0;12;23;22;32;40;44;70;37;35;9
22;Казачков Денис Александрович;150.0;12;8;17;13;14;24;24;12;22;4
23;Каратаев Алексей Николаевич;931.0;59;87;91;88;187;106;90;80;122;21
24;Климов Сергей Вячеславович;308.0;22;25;19;13;34;22;49;42;81;1
25;Лиджиев Чингиз Анатольевич;11.0;0;0;1;0;1;1;3;0;3;2
26;Локтев Михаил Александрович;423.0;25;25;34;52;41;45;71;55;69;6
27;Лопаткина Виолетта Алексеевна;216.0;8;10;21;17;21;34;54;16;30;5
28;Полевов Станислав Владимирович;122.0;22;13;13;11;9;3;22;13;13;3
29;Попов Александр Анатольевич;939.0;76;89;79;86;164;119;118;88;105;15
30;Рубцова Анастасия Анатольевна;1079.0;92;103;98;107;171;148;123;93;126;18
31;Рябцев Валерий Николаевич;225.0;13;16;18;17;29;27;55;23;25;2
32;Федосеев Сергей Андреевич;530.0;13;12;47;54;34;112;95;72;87;4
