;name;overall;УИК №758;УИК №759;УИК №760;УИК №761
14;Авакян Саак Хачикович;51.0;6;6;23;16
15;Аверкин Максимильян Вячеславович;261.0;70;72;57;62
16;Букатин Сергей Григорьевич;560.0;114;84;159;203
17;Быцюра Валерий Николаевич;36.0;10;11;4;11
18;Волков Дмитрий Игоревич;237.0;87;48;44;58
19;Гайсина Гулия Рафиковна;54.0;17;7;19;11
20;Ефимов Максим Владимирович;77.0;19;16;21;21
21;Зайцев Николай Николаевич;83.0;23;15;23;22
22;Замышляев Максим Александрович;52.0;10;12;15;15
23;Зуев Иван Анатольевич;573.0;131;79;156;207
24;Калинин Евгений Юрьевич;450.0;98;140;115;97
25;Киселев Михаил Анатольевич;384.0;100;84;96;104
26;Котикова Диана Берсовна;164.0;39;31;55;39
27;Котилевский Юрий Адольфович;174.0;76;16;24;58
28;Куприянов Дмитрий Александрович;566.0;123;83;153;207
29;Ларшин Николай Викторович;42.0;10;9;10;13
30;Ледяхов Алексей Юрьевич;119.0;57;14;15;33
31;Леонов Кирилл Евгеньевич;135.0;60;16;24;35
32;Лысикова Екатерина Юрьевна;43.0;10;13;7;13
33;Макушкин Игорь Сергеевич;225.0;47;78;44;56
34;Новикова Елена Вадимовна;579.0;120;210;129;120
35;Сорокин Григорий Михайлович;485.0;94;67;122;202
36;Туманов Александр Сергеевич;439.0;96;142;112;89
37;Холмогоров Александр Сергеевич;34.0;8;9;6;11
38;Честнова Любовь Николаевна;212.0;54;41;59;58
39;Шаров Илья Вадимович;458.0;100;151;108;99
