;name;overall;УИК №2965;УИК №2967;УИК №2968;УИК №2969
14;Баранников Владимир Анатольевич;110.0;22;30;35;23
15;Безрук Александр Павлович;145.0;32;36;51;26
16;Ведмедь Артур Алексеевич;73.0;23;13;20;17
17;Гриценко Андрей Алексеевич;146.0;23;48;56;19
18;Комиссарова Алина Сергеевна;174.0;35;35;56;48
19;Комиссарова Анна Николаевна;593.0;113;86;218;176
20;Конькова Анна Алексеевна;44.0;10;10;14;10
21;Луконин Святослав Александрович;269.0;49;52;121;47
22;Нурисламов Сергей Валерьевич;93.0;24;15;37;17
23;Прохоров Анатолий Владимирович;250.0;39;43;70;98
24;Радченко Вячеслав Валерьевич;404.0;57;99;187;61
25;Рощин Виктор Андреевич;599.0;132;100;187;180
26;Трубачев Максим Владимирович;359.0;60;86;141;72
27;Ярошенко Никита Григорьевич;618.0;126;87;222;183
