;name;overall;УИК №992;УИК №993;УИК №994;УИК №995;УИК №996;УИК №997;УИК №998;УИК №999;УИК №1000;УИК №1001;УИК №1002
14;Анищук Георгий Иванович;1089.0;140;87;106;102;149;80;123;74;71;88;69
15;Бакулина Октябрина Александровна;374.0;29;38;31;33;28;34;60;36;24;43;18
16;Балмышев Алексей Валерьевич;191.0;14;11;14;20;24;7;29;10;21;25;16
17;Балмышева Роза Ахсановна;182.0;15;17;14;21;22;9;19;14;13;24;14
18;Бобков Константин Валерьевич;925.0;131;111;68;70;84;69;90;89;71;78;64
19;Букляков Сергей Васильевич;567.0;63;53;35;57;59;46;61;50;54;58;31
20;Гамула Николай Никифорович;1288.0;152;111;121;134;175;90;149;81;89;98;88
21;Иванова Анастасия Павловна;406.0;36;50;31;30;37;21;61;44;39;33;24
22;Козырева Елена Викторовна;238.0;22;13;21;29;20;17;31;20;21;27;17
23;Костенко Светлана Александровна;442.0;67;36;47;41;49;32;31;30;47;44;18
24;Крутова Наталья Олеговна;1428.0;172;126;146;146;185;89;180;97;108;96;83
25;Лайцева Наталья Львовна;1259.0;151;108;108;133;179;96;145;86;80;96;77
26;Макаров Виктор Константинович;1215.0;138;96;115;121;158;105;144;83;79;92;84
27;Перевалов Игорь Олегович;474.0;49;55;43;40;31;31;66;48;43;37;31
28;Перевалова Ирина Викторовна;359.0;27;41;41;27;26;26;53;29;35;31;23
29;Перков Иван Евгеньевич;427.0;35;49;38;38;35;27;66;41;42;37;19
30;Привалов Антон Евгеньевич;184.0;15;13;17;20;13;12;28;18;14;24;10
31;Ремизов Дмитрий Олегович;164.0;16;16;8;23;20;10;12;20;14;23;2
32;Скорик Николай Андреевич;403.0;59;40;33;36;34;31;46;36;33;32;23
33;Титоренко Антон Николаевич;166.0;21;13;16;18;13;8;15;21;19;19;3
34;Токарева Надежда Николаевна;285.0;29;28;21;31;23;14;23;29;30;28;29
35;Шоладеми Самсон Бартоломиувич;615.0;52;66;37;39;51;50;82;109;64;49;16
36;Шурлов Алексей Евгеньевич;386.0;60;20;22;41;34;35;36;46;31;45;16
