;name;overall;УИК №2753;УИК №2754;УИК №2755;УИК №2756;УИК №2757;УИК №2758;УИК №2759;УИК №2760;УИК №2761;УИК №2762;УИК №2763;УИК №2764;УИК №2789
14;Баранов Алексей Андреевич;1400.0;78;98;163;63;227;122;144;20;119;105;117;98;46
15;Бессонов Игорь Александрович;626.0;24;27;64;29;104;69;59;11;76;47;60;33;23
16;Бобринский Николай Алексеевич;1373.0;66;62;150;65;193;93;123;37;152;122;168;99;43
17;Былинская Юлия Витальевна;353.0;25;23;39;23;31;24;38;11;24;33;33;37;12
18;Горелов Кирилл Евгеньевич;1122.0;86;65;96;60;106;54;124;27;102;113;128;119;42
19;Денисов Илья Олегович;582.0;37;41;49;22;47;50;75;18;50;68;41;53;31
20;Ерцева Нина Владимировна;1093.0;67;74;123;73;102;150;120;36;69;88;88;85;18
21;Зеленовский Владимир Вячеславович;105.0;8;1;15;5;18;9;13;6;4;10;6;7;3
22;Зорькин Алексей Юрьевич;421.0;21;25;25;19;24;29;36;11;118;31;37;39;6
23;Крынина Галина Валентиновна;191.0;10;22;19;3;16;14;24;4;18;15;20;20;6
24;Мамонтов Владимир Юрьевич;615.0;20;26;60;17;58;42;67;7;62;82;118;43;13
25;Новиков Александр Иванович;179.0;10;8;11;7;25;21;24;7;11;9;25;13;8
26;Ольшанский Леонид Дмитриевич;1234.0;75;51;104;60;114;144;121;38;96;139;123;116;53
27;Паисов Дмитрий Владимирович;457.0;20;18;25;8;45;28;110;24;41;51;32;40;15
28;Садчикова Ирина Викторовна;1295.0;64;76;153;99;135;178;129;34;83;127;108;92;17
29;Симонова Ольга Игоревна;1593.0;91;129;149;86;215;191;178;43;155;123;117;99;17
30;Стриковский Михаил Евсеевич;331.0;22;14;27;6;24;27;28;10;59;53;30;27;4
31;Фокина Валентина Александровна;1133.0;142;92;88;58;107;55;105;31;95;100;119;105;36
32;Шабалин Олег Юрьевич;254.0;16;7;23;22;28;26;28;9;10;26;23;30;6
